dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
octmnist,RegNetY400MF,L30_G30,4,hounie_rcl,75,1000,250,29,29,UNSET->default True,21.0,9,0.014071,25.0,5,0,175.0,0.0,0.0,-0.5866393927932878,0.19939810008886902,-0.9128709291752769,2,7.200000000000067e-07,0.000998,0.020271,0.017709,23,6,0.000938,0.0016186895934675058,174.8,6.93400000000004,6.93400000000004,0.09245333333333387,0.09245333333333387,5,-0.025563909774436087,-1.0,51.20299999999993,44.26899999999989,0.012322
tissuemnist,RegNetY400MF,L30_G30,1,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.021061,,0,0,166.0,84.0,212.0,0.19167283163607893,0.19167283163607893,,93,6.599999999999835e-07,0.000488,0.015242,0.015242,29,0,0.000658,0.0009311476789424972,168.12,100.06079999999997,166.51679999999993,1.9619764705882348,3.265035294117646,0,-0.04236453201970442,,,,0.002876
tissuemnist,RegNetY400MF,L30_G30,2,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.026521,,0,0,234.0,166.0,274.0,0.6182849444859517,0.6182849444859517,,134,7.600000000000402e-07,0.000566,0.016363,0.016363,29,0,0.000694,0.001009140228115003,186.84,147.52799999999976,188.19119999999987,2.8927058823529364,3.690023529411762,0,0.5275862068965517,,,,0.003356
tissuemnist,RegNetY400MF,L30_G30,3,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.021192,,0,0,118.0,110.0,244.0,0.4663545766028499,0.4663545766028499,,106,8.100000000000143e-07,0.000426,0.016949,0.016949,29,0,0.000727,0.001035118833757748,153.24,142.95119999999997,180.11280000000005,2.8029647058823524,3.5316235294117657,0,0.37339901477832504,,,,0.003592
tissuemnist,RegNetY400MF,L30_G30,4,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.019117,,0,0,290.0,72.0,266.0,-0.12498463915127196,-0.12498463915127196,,87,6.699999999999987e-07,0.000549,0.013727,0.013727,29,0,0.000593,0.0008650728293039841,182.76,91.2936,194.92799999999977,1.790070588235294,3.822117647058819,0,-0.10246305418719209,,,,0.003257
dermmnist,RegNetY400MF,L50_G50,1,hounie_rcl,112,2003,223,24,24,UNSET->default True,13.0,12,0.016682,20.0,5,0,159.0,0.0,0.0,-0.6305736978385612,0.43356643356643365,-0.9644013324700096,40,6.799999999999732e-07,0.000628,0.007695,0.006689,19,5,0.000351,0.0006243204305482884,237.7884,49.40825299999994,49.40825299999994,0.44114511607142803,0.44114511607142803,5,-0.1258741258741259,-1.0,98.84429600000007,49.43604300000013,0.002929
dermmnist,RegNetY400MF,L50_G50,2,hounie_rcl,112,2003,223,28,28,UNSET->default True,15.0,14,0.017922,24.0,5,0,44.0,0.0,0.0,-0.48091490279190097,0.6408937593274027,-0.9777750027710651,33,7.499999999999911e-07,0.000475,0.007861,0.006642,22,6,0.000363,0.0006177896082000733,207.14249999999998,44.02018300000009,44.02018300000009,0.3930373482142865,0.3930373482142865,6,0.015384615384615385,-1.0,90.07315899999995,46.05297599999986,0.002619
dermmnist,RegNetY400MF,L50_G50,3,hounie_rcl,112,2003,223,25,25,UNSET->default True,16.0,10,0.013644,21.0,5,0,279.0,0.0,0.0,-0.7376001938670989,-0.035714285714285705,-0.937436866561092,47,6.700000000000054e-07,0.000781,0.006953,0.005999,19,6,0.000324,0.0006305553108173779,268.4343,56.160365999999975,56.160365999999975,0.5014318392857141,0.5014318392857141,6,-0.14285714285714282,-0.9999999999999999,96.40664499999993,40.24627899999995,0.002657
dermmnist,RegNetY400MF,L50_G50,4,hounie_rcl,112,2003,223,24,24,UNSET->default True,13.0,12,0.016372,20.0,5,0,141.0,0.0,0.0,-0.738921280697099,0.21366057284319562,-0.9644013324700096,43,8.499999999999936e-07,0.000632,0.005598,0.004665,19,5,0.000257,0.0004975530122509561,238.5896,53.82486800000003,53.82486800000003,0.48057917857142884,0.48057917857142884,5,-0.2657342657342658,-1.0,99.47724400000001,45.65237599999998,0.001948
octmnist,RegNetY400MF,L50_G50,1,hounie_rcl,125,1000,250,29,29,UNSET->default True,26.0,4,0.012854,29.0,1,0,88.0,0.0,0.0,-0.5174325843119999,-0.2862639688618495,-1.0,86,7.499999999999911e-07,0.000503,0.011627,0.011337,27,2,0.000546,0.0009525329390630016,175.3,102.94099999999995,102.94099999999995,0.8235279999999996,0.8235279999999996,2,-0.32923076923076927,-1.0,102.94099999999995,0.0,0.007181
octmnist,RegNetY400MF,L50_G50,2,hounie_rcl,125,1000,250,29,29,UNSET->default True,22.0,8,0.013687,25.0,5,0,140.0,0.0,0.0,-0.7023252203502973,-0.22691826728374306,-0.8728715609439694,32,7.499999999999911e-07,0.000705,0.007608,0.004839,22,7,0.000351,0.0006253798845501829,195.5,45.53000000000007,45.53000000000007,0.36424000000000056,0.36424000000000056,7,-0.3181818181818181,-1.0,99.64800000000005,54.11799999999998,0.004821
octmnist,RegNetY400MF,L50_G50,3,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.013004,,0,0,84.0,4.0,190.0,0.06948380417903999,0.06948380417903999,,121,7.600000000000402e-07,0.00062,0.01302,0.01302,29,1,0.000546,0.0009496757341324458,187.0,117.80999999999999,220.62000000000006,0.9424799999999999,1.7649600000000005,1,-0.032512315270935954,,,,0.010684
octmnist,RegNetY400MF,L50_G50,4,hounie_rcl,125,1000,250,29,29,UNSET->default True,26.0,4,0.010259,26.0,4,0,76.0,0.0,0.0,-0.41771589564638356,-0.09353351501318563,,41,8.300000000000039e-07,0.000498,0.009495,0.007844,25,5,0.000425,0.0007321031348109363,174.8,57.224999999999966,57.224999999999966,0.4577999999999997,0.4577999999999997,5,-0.18230769230769234,-1.0,114.40499999999993,57.179999999999964,0.006444
tissuemnist,RegNetY400MF,L50_G50,1,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.016929,,0,0,96.0,32.0,176.0,0.4237122183828218,0.4237122183828218,,102,7.800000000000027e-07,0.000342,0.011812,0.011812,29,0,0.0005,0.0007416198487095663,168.07999999999998,116.97920000000009,176.6672,1.3602232558139546,2.0542697674418604,0,0.4182266009852216,,,,0.002662
tissuemnist,RegNetY400MF,L50_G50,2,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.026365,,0,0,164.0,72.0,192.0,0.5973131768511478,0.5973131768511478,,122,7.899999999999704e-07,0.00042,0.011696,0.011696,29,0,0.000497,0.0006887488656977956,186.8,140.3144,184.3399999999998,1.6315627906976744,2.143488372093021,0,0.4448275862068965,,,,0.002514
tissuemnist,RegNetY400MF,L50_G50,3,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.022745,,0,0,48.0,48.0,126.0,0.3120148466561198,0.3120148466561198,,110,7.699999999999943e-07,0.00028,0.011663,0.011663,29,0,0.000507,0.0007368520882782379,153.2,150.8216,157.49119999999996,1.7537395348837208,1.8312930232558136,0,0.14778325123152705,,,,0.002596
tissuemnist,RegNetY400MF,L50_G50,4,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.018052,,0,0,220.0,70.0,146.0,0.19632959873023154,0.19632959873023154,,121,4.900000000000173e-07,0.000403,0.010919,0.010919,29,0,0.000468,0.0006935243326661293,182.71999999999997,129.0056000000002,163.39520000000013,1.500065116279072,1.8999441860465132,0,0.18669950738916252,,,,0.002464
