campaign,dataset,model,cap,seed,K,N,n_rows,last_ep,gate_ep,n_off,n_on,n_nan_soft,n_nan_soft_off,lam_min,lam_final,first_sat,n_sat,exc_final,soft_final,step_on,drift_on,ratio_on,npts_on,netcounts_on,step_off,drift_off,ratio_off,npts_off,netcounts_off,peak_ep_soft,last_rise_ep_soft,peak_ep_exc,last_rise_ep_exc,excratio_on,excstep_on,excdrift_on,excratio_off,excstep_off,excdrift_off,ratio_late10,npts_late10,ratio_early10,ratio_late12,npts_late12,ratio_early12,ratio_late15,npts_late15,ratio_early15,ratio_on_tail,npts_on_tail
lrc1e-4,octmnist,RegNetY400MF,L30_G30,3,75,1000,29,28,28.0,1,28,0,0,0.001411,0.025368,,0,63.0,112.86400000000003,31.645666666666642,-2.4808518518518423,0.07839467810817208,28,-66.98299999999975,,,,,,11,26,11,26,0.07710280373831777,63.407407407407405,-4.888888888888889,,,,0.11251506986488197,19,0.10819895607253696,0.13177046300556283,17,0.07795701259855736,0.052418574028891225,14,0.2006098281100698,,
lrc1e-4,octmnist,RegNetY400MF,L30_G30,4,75,1000,29,28,,0,29,0,0,0.001237,0.028196,,0,73.0,112.18899999999992,35.580249999999985,-3.089678571428574,0.08683689888150238,29,-86.51100000000007,,,,,,19,27,19,27,0.07024029574861368,77.28571428571429,-5.428571428571429,,,,0.13171637999854893,19,0.24943106860158334,0.13352334740768013,17,0.07754634913967577,0.10193095167692644,14,0.13507704027540893,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,1,51,2400,29,28,,0,29,0,0,0.000511,0.016624,,0,140.0,126.13440000000017,59.48948571428569,-1.696628571428565,0.028519805660736107,29,-47.505599999999816,,,,,,21,27,21,27,0.012987012987012986,132.0,-1.7142857142857142,,,,0.04730634599576975,19,0.10500282345548498,0.09894582801320909,17,0.006561644724537058,0.0087239795419755,14,0.07805667010641548,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,2,51,2400,29,28,,0,29,0,0,0.000617,0.015842,,0,226.0,169.47359999999946,58.59360000000005,-1.0573714285714482,0.018045851911666928,29,-29.606400000000548,,,,,,19,28,19,28,0.024523160762942777,131.07142857142858,-3.2142857142857144,,,,0.025133467521188526,19,0.03532009985294202,0.06469258721638306,17,0.13409588921027274,0.023449782823034518,14,0.042970678863347433,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,3,51,2400,29,28,,0,29,0,0,0.000537,0.016514,,0,210.0,163.0272000000005,42.885942857142766,-0.6018857142856971,0.014034568769786334,29,-16.85279999999952,,,,,,17,25,17,25,0.001579778830963665,90.42857142857143,-0.14285714285714285,,,,0.09832184659883618,19,0.05311193309745897,0.0020621980174997875,17,0.07035591554847423,0.08057897111590133,14,0.04082965561641025,,
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,4,51,2400,29,28,,0,29,0,0,0.000604,0.016056,,0,182.0,154.17839999999995,46.98557142857144,-1.492200000000002,0.031758685797159646,29,-41.781600000000054,,,,,,5,27,5,27,0.04856952761144378,107.35714285714286,-5.214285714285714,,,,0.11980222496909769,19,0.1328612291923243,0.08428419705345709,17,0.08988146711321544,0.03846804877869295,14,0.0754796470253347,,
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,1,112,2003,24,23,14.0,10,14,0,0,0.00075,0.006312,19.0,5,0.0,49.58451699999997,34.28997330769227,-6.034730846153855,0.17599112113627932,14,-78.45150100000012,14.046371333333347,-14.046371333333346,0.9999999999999999,10.0,-126.4173420000001,0,11,8,12,0.0816326530612245,75.38461538461539,-6.153846153846154,1.0,13.666666666666666,-13.666666666666666,0.6875784343588192,14,0.11724083898551697,0.9999999999999997,12,0.16753748450912684,1.0,9,0.1901108947096468,0.02413101024851195,10.0
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,2,112,2003,29,28,18.0,11,18,0,0,0.000565,0.007298,24.0,5,0.0,41.476372999999924,30.456439764705888,-2.172901529411764,0.07134456772356589,18,-36.939325999999994,14.5393764,-14.539376400000004,1.0000000000000002,11.0,-145.39376400000003,16,16,16,16,0.03068592057761733,65.17647058823529,2.0,1.0,14.5,-14.5,0.3455040871934604,19,0.027778715930967028,0.5685191746179127,17,0.1051281201312693,0.46876245628548874,14,0.11447149711991816,0.06662016044645952,11.0
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,3,112,2003,26,25,16.0,10,16,0,0,0.001015,0.006131,21.0,5,0.0,36.1664200000001,52.696659933333336,-9.166662733333336,0.17395149417306716,16,-137.49994100000004,14.806621111111108,-14.806621111111108,1.0,10.0,-133.25958999999997,0,15,0,15,0.1638349514563107,109.86666666666666,-18.0,1.0,11.666666666666666,-11.666666666666666,0.39050821109333633,16,0.10645539851227057,0.7624680780953946,14,0.34310864551432074,1.0000000000000002,11,0.21846529341216572,0.07255712846614716,10.0
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,4,112,2003,26,25,17.0,9,17,0,0,0.00056,0.005995,21.0,5,0.0,25.54050500000008,37.292104374999994,-3.012261625000006,0.08077478263788665,17,-48.1961860000001,17.482184,-17.482184,1.0,9.0,-139.857472,15,15,15,15,0.008605851979345954,72.625,-0.625,1.0,13.125,-13.125,0.4357411496372507,16,0.2344868150181356,0.3711451719326336,14,0.07977244585659907,1.0,11,0.030506238204198892,0.06388585384664801,9.0
lrc1e-4,octmnist,RegNetY400MF,L50_G50,1,125,1000,29,28,,0,29,0,0,0.000259,0.015889,,0,114.0,181.55700000000004,31.42675000000002,1.0948928571428584,0.03483951910849381,29,30.657000000000036,,,,,,2,27,2,28,0.042105263157894736,67.85714285714286,2.857142857142857,,,,0.03571628466683454,19,0.06829521613593434,0.022626705491155513,17,0.09809566596679084,0.09598801650890208,14,0.10522814199528338,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,2,125,1000,29,28,,0,29,0,0,0.00071,0.008697,2.0,5,76.0,162.17800000000003,33.132499999999986,-1.2079285714285706,0.036457513662674745,29,-33.821999999999974,,,,,,22,28,22,28,0.026246719160104987,54.42857142857143,-1.4285714285714286,,,,0.004656978315116803,19,0.00990461116007459,0.059232863335446306,17,0.148206032846414,0.031147381083981025,14,0.05196974130193937,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,3,125,1000,29,28,,0,29,0,0,0.000911,0.013855,2.0,2,158.0,210.84499999999997,44.98510714285711,-0.18767857142857228,0.004172015659150709,29,-5.255000000000024,,,,,,9,28,9,28,0.009669621273166801,88.64285714285714,-0.8571428571428571,,,,0.057002710960804344,19,0.11898356357769481,0.07011378696622024,17,0.019055491771909613,0.19617475490299624,14,0.11188051963476331,,
lrc1e-4,octmnist,RegNetY400MF,L50_G50,4,125,1000,29,28,,0,29,0,0,0.000737,0.011948,,0,9.0,122.22099999999999,31.915107142857135,-2.731392857142857,0.08558307026564896,29,-76.479,,,,,,3,27,3,27,0.059120768064679134,70.67857142857143,-4.178571428571429,,,,0.05677344517818286,19,0.15800260051149123,0.10812020830164765,17,0.003290087213423049,0.1577726336140013,14,0.10937574052451766,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,1,86,2400,29,28,,0,29,0,0,0.000366,0.01144,,0,192.0,192.47600000000006,56.6040857142857,0.6655714285714305,0.011758363732451454,29,18.636000000000053,,,,,,3,27,3,27,0.02019650655021834,130.85714285714286,2.642857142857143,,,,0.03726729229155376,19,0.007807022982311497,0.04115901157941445,17,0.19212108147839255,0.10975906546605053,14,0.02594750537391091,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,2,86,2400,29,28,,0,29,0,0,0.000472,0.01376,,0,286.0,239.4727999999998,47.07779999999996,1.4354571428571359,0.030491168721927045,29,40.19279999999981,,,,,,17,28,17,28,0.013245033112582781,107.85714285714286,1.4285714285714286,,,,0.048897244002363456,19,0.06669144954315695,0.07386045089278111,17,0.033791323064327534,0.050620944523225964,14,0.0695905537732062,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,3,86,2400,29,28,,0,29,0,0,0.000391,0.011929,,0,266.0,221.31680000000011,51.50074285714282,1.4813142857142896,0.02876296929974945,29,41.47680000000011,,,,,,24,28,24,28,0.04096709200805909,106.35714285714286,4.357142857142857,,,,0.027781727861361495,19,0.19165951222614394,0.09926065669977963,17,0.027283687102257006,0.01726745506113088,14,0.07158039775231738,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,4,86,2400,29,28,,0,29,0,0,0.000458,0.011583,,0,58.0,117.17600000000003,51.39514285714279,-2.812285714285714,0.05471890061873558,29,-78.74399999999999,,,,,,9,26,9,26,0.06038647342995169,118.28571428571429,-7.142857142857143,,,,0.10468015366107412,19,0.16007605585800508,0.07643803972656092,17,0.0725525375373167,0.14698363707045856,14,0.04513980243488242,,
