dataset,model,cap,method,seed,dir,K,last_epoch,n_rows,n_sat_logged,first_sat_ep,exc_first,exc_last,exc_min,ce_first,ce_last,lam_first,lam_last,raw_count,raw_excess,flips,n_globsat_logged,count_first,count_last,count_min,count_max,ratio_first,ratio_last,ratio_min,ratio_max,cross,soft_last,softhard_gap_last,acc_first,acc_last,acc_max,Lg_first,Lg_last,sat_epoch_ev,best_sat_ep_ev,min_exc_ep_ev,min_exc_ev,restored_ep,restore_kind
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,,28.0,29,5,0.0,0.0,214.0,0.0,1.088043,0.032918,0.368874,11.050336,77,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,,28.0,29,5,0.0,0.0,132.0,0.0,1.07426,0.02178,0.414106,11.184887,66,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,,28.0,29,1,0.0,0.0,46.0,0.0,1.102201,,0.550705,12.972226,61,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,,28.0,29,2,10.0,336.0,28.0,0.0,1.096688,0.022989,1.216942,16.706546,83,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,,28.0,29,4,7.0,12.0,0.0,0.0,0.407532,,0.000232,0.010307,64,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,,28.0,29,4,10.0,222.0,0.0,0.0,0.402271,,0.000844,0.007644,86,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,,28.0,29,3,1.0,236.0,144.0,0.0,0.410681,,0.000839,0.01187,96,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,,28.0,29,2,1.0,6.0,60.0,0.0,0.414535,0.00936,0.000261,0.009058,113,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,tralo,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,125.0,30.0,9,4,5.0,,,,0.407532,0.0,0.05,0.06,104,0.0,21.0,4.0,131.0,107.0,76.0,280.0,1.048,0.856,0.608,2.24,5.0,106.45,-0.5499999999999972,0.8363,1.0,1.0,0.016183,0.0,5.0,30.0,5.0,0.0,,
octmnist,MobileNetV3,L50_G50,tralo,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,125.0,30.0,11,5,8.0,,,,0.402271,0.00991,0.05,0.06,108,0.0,17.0,5.0,236.0,143.0,107.0,236.0,1.888,1.144,0.856,1.888,8.0,137.74,-5.259999999999991,0.8393,0.9962,0.9962,0.098472,0.021463,8.0,26.0,8.0,0.0,26.0,fully_satisfied
octmnist,MobileNetV3,L50_G50,tralo,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,125.0,30.0,11,4,3.0,,,,0.410681,0.0,0.05,0.05,98,0.0,27.0,4.0,243.0,199.0,53.0,243.0,1.944,1.592,0.424,1.944,8.0,195.78,-3.219999999999999,0.8354,1.0,1.0,0.097737,0.123286,3.0,28.0,3.0,0.0,28.0,fully_satisfied
octmnist,MobileNetV3,L50_G50,tralo,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,125.0,30.0,14,10,3.0,,,,0.414535,0.0,0.05,0.05,99,0.0,26.0,12.0,105.0,87.0,47.0,180.0,0.84,0.696,0.376,1.44,2.0,88.02,1.019999999999996,0.8377,1.0,1.0,0.019122,0.0,3.0,30.0,3.0,0.0,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,,28.0,29,7,4.0,12.0,0.0,0.0,0.407532,,0.116157,5.633906,117,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,,28.0,29,1,25.0,222.0,88.0,0.0,0.402271,0.015958,0.422124,5.907403,111,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,,28.0,29,6,1.0,236.0,120.0,0.0,0.410681,0.009297,0.41953,5.422317,108,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
