dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
octmnist,MobileNetV3,L50_G50,2,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,125,99,99,0,125,0,0.5439999999999999,0.4756446991404012,0.7559974277577427,0.7354825864860565,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2
octmnist,MobileNetV3,L50_G50,3,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,125,108,108,0,125,0,0.5973333333333334,0.5418994413407822,0.8144984114514358,0.7798023054399704,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3
octmnist,MobileNetV3,L50_G50,4,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,125,122,122,0,125,0,0.608,0.6129032258064516,0.828667530068018,0.7851120818260916,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4
tissuemnist,MobileNetV3,L50_G50,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,86,61,61,0,86,0,0.2957198443579766,0.2586206896551724,0.2871502523654191,0.4086211436538095,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1
tissuemnist,MobileNetV3,L50_G50,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,86,83,83,0,86,0,0.3424124513618677,0.3385826771653543,0.36168823550630314,0.38541431936783027,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2
tissuemnist,MobileNetV3,L50_G50,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,86,66,66,0,86,0,0.311284046692607,0.24472573839662445,0.34349446917416493,0.37751049191253955,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3
tissuemnist,MobileNetV3,L50_G50,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,86,77,77,0,86,0,0.31906614785992216,0.2903225806451613,0.3111756289946287,0.369554053734499,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4
tissuemnist,MobileNetV3,L50_G50,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,86,35,35,0,86,0,0.32684824902723736,0.20388349514563103,0.3954645792438441,0.27474906710701075,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1
tissuemnist,MobileNetV3,L50_G50,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,86,81,81,0,86,0,0.2957198443579766,0.31746031746031744,0.337777312890084,0.41055610987454183,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2
tissuemnist,MobileNetV3,L50_G50,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,86,54,54,0,86,0,0.2568093385214008,0.21333333333333335,0.231607236675273,0.3645388072604549,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3
tissuemnist,MobileNetV3,L50_G50,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,86,85,85,0,86,0,0.28793774319066145,0.2890625,0.27084350661726264,0.37901328519302907,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4
tissuemnist,MobileNetV3,L50_G50,1,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,86,46,46,0,86,0,0.35019455252918286,0.27649769585253453,0.41318960123149534,0.41751776144966934,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1
tissuemnist,MobileNetV3,L50_G50,2,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,86,58,58,0,86,0,0.38910505836575876,0.30567685589519644,0.42791533550486804,0.4118772349360842,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2
tissuemnist,MobileNetV3,L50_G50,3,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,86,63,63,0,86,0,0.3346303501945525,0.2905982905982906,0.3976203801948646,0.3985942906923225,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3
tissuemnist,MobileNetV3,L50_G50,4,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,86,68,68,0,86,0,0.2957198443579766,0.2845188284518828,0.3278875194271938,0.3751837811220321,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4
dermmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,21,21,0,67,0,0.39999999999999997,0.16393442622950818,0.5673747534459135,0.6447995230044238,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1
dermmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,51,51,0,67,0,0.35862068965517246,0.30656934306569344,0.5571203326042151,0.6689971169303742,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2
dermmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,51,51,0,67,0,0.39999999999999997,0.3284671532846715,0.6063083218708845,0.6362610526390273,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3
dermmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,67,52,52,0,67,0,0.3448275862068966,0.27636363636363637,0.5004014913308018,0.6777103272506845,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,16,16,0,67,0,0.35862068965517246,0.13389121338912133,0.5090260122722069,0.6489867752201384,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,5,5,0,67,0,0.2413793103448276,0.03508771929824561,0.36470269415610734,0.6157227653644753,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2
dermmnist,RegNetY400MF,L30_G30,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,8,8,0,67,0,0.26896551724137935,0.06060606060606061,0.37381258850952226,0.6097409135685086,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3
dermmnist,RegNetY400MF,L30_G30,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,67,9,9,0,67,0,0.2827586206896552,0.07758620689655173,0.34403368993858147,0.5804516055245932,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4
