dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
octmnist,RegNetY400MF,L30_G30,4,15.0,151.0,153.85,75.0,0.0,0.0,0.08,0.034352,0.9888,1.93756,5.620804
octmnist,RegNetY400MF,L30_G30,4,20.0,187.0,187.73,75.0,0.0,0.0,0.09,0.021073,0.9925,3.864789,11.329211
octmnist,RegNetY400MF,L30_G30,4,25.0,186.0,181.96,75.0,0.0,0.0,0.1,0.017663,0.9936,5.227166,15.292973
octmnist,RegNetY400MF,L30_G30,4,30.0,200.0,201.69,75.0,0.0,0.0,0.11,0.023351,0.992,7.658709,22.469563
octmnist,RegNetY400MF,L30_G30,3,2.0,216.0,216.11,75.0,0.0,0.0,0.05,0.478893,0.8063,0.227582,0.676163
octmnist,RegNetY400MF,L30_G30,3,5.0,153.0,158.03,75.0,0.0,0.0,0.06,0.144149,0.9482,0.486685,1.425256
octmnist,RegNetY400MF,L30_G30,3,10.0,126.0,130.62,75.0,0.0,0.0,0.07,0.059501,0.9788,0.758928,2.170691
octmnist,RegNetY400MF,L30_G30,3,15.0,221.0,223.42,75.0,0.0,0.0,0.08,0.033649,0.9878,2.931378,8.692762
octmnist,RegNetY400MF,L30_G30,3,20.0,149.0,150.18,75.0,0.0,0.0,0.09,0.02638,0.9918,2.800202,8.172829
octmnist,RegNetY400MF,L30_G30,3,25.0,183.0,177.23,75.0,0.0,0.0,0.1,0.029848,0.9899,5.069741,14.820244
octmnist,RegNetY400MF,L30_G30,3,30.0,142.0,145.32,75.0,0.0,0.0,0.11,0.022022,0.9922,4.847481,13.828714
octmnist,RegNetY400MF,L30_G30,1,2.0,142.0,150.92,75.0,0.0,0.0,0.05,0.453289,0.8193,0.151675,0.443668
octmnist,RegNetY400MF,L30_G30,1,5.0,209.0,201.43,75.0,0.0,0.0,0.06,0.127984,0.9537,0.649351,1.927154
