dataset,model,cap,method,seed,K,pool,n_true,count_raw,fill,final_excess_recomputed,final_feasible,count_adj,log_rows,log_epoch_max,log_exc_last,log_exc_min,ever_feasible_intrain,first_feas_ep,n_feas_ep
dermmnist,MobileNetV3,L50_G50,tralo,1,112,2003,223,80,0.7142857142857143,0,1,111,13,30.0,,,,,
dermmnist,MobileNetV3,L50_G50,tralo,2,112,2003,223,95,0.8482142857142857,0,1,111,16,30.0,,,,,
dermmnist,MobileNetV3,L50_G50,tralo,3,112,2003,223,99,0.8839285714285714,0,1,111,11,30.0,,,,,
dermmnist,MobileNetV3,L50_G50,tralo,4,112,2003,223,66,0.5892857142857143,0,1,111,14,30.0,,,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,125,1000,250,108,0.864,0,1,125,29,28.0,120.0,0.0,1.0,1.0,6.0
octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,125,1000,250,111,0.888,0,1,125,29,28.0,0.0,0.0,1.0,1.0,11.0
octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,125,1000,250,111,0.888,0,1,125,29,28.0,88.0,0.0,1.0,25.0,1.0
octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,125,1000,250,117,0.936,0,1,125,29,28.0,0.0,0.0,1.0,4.0,7.0
octmnist,MobileNetV3,L50_G50,hounie_rcl,1,125,1000,250,96,0.768,0,1,125,29,28.0,144.0,0.0,1.0,1.0,3.0
octmnist,MobileNetV3,L50_G50,hounie_rcl,2,125,1000,250,113,0.904,0,1,125,29,28.0,60.0,0.0,1.0,1.0,2.0
octmnist,MobileNetV3,L50_G50,hounie_rcl,3,125,1000,250,86,0.688,0,1,125,29,28.0,0.0,0.0,1.0,10.0,4.0
octmnist,MobileNetV3,L50_G50,hounie_rcl,4,125,1000,250,64,0.512,0,1,125,29,28.0,0.0,0.0,1.0,7.0,4.0
octmnist,MobileNetV3,L50_G50,tralo,1,125,1000,250,103,0.824,0,1,125,11,30.0,,,,,
octmnist,MobileNetV3,L50_G50,tralo,2,125,1000,250,99,0.792,0,1,125,12,30.0,,,,,
octmnist,MobileNetV3,L50_G50,tralo,3,125,1000,250,108,0.864,0,1,125,11,30.0,,,,,
octmnist,MobileNetV3,L50_G50,tralo,4,125,1000,250,122,0.976,0,1,125,9,30.0,,,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,86,2400,171,61,0.7093023255813954,0,1,86,29,28.0,46.0,0.0,1.0,0.0,1.0
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,86,2400,171,83,0.9651162790697675,0,1,86,29,28.0,28.0,0.0,1.0,10.0,2.0
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,86,2400,171,66,0.7674418604651163,0,1,86,29,28.0,132.0,0.0,1.0,0.0,5.0
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,86,2400,171,77,0.8953488372093024,0,1,86,29,28.0,214.0,0.0,1.0,0.0,5.0
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,86,2400,171,35,0.4069767441860465,0,1,86,29,28.0,226.0,0.0,1.0,0.0,1.0
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,86,2400,171,81,0.9418604651162791,2,0,86,29,28.0,72.0,2.0,0.0,,0.0
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,86,2400,171,54,0.627906976744186,0,1,86,29,28.0,108.0,0.0,1.0,0.0,6.0
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,86,2400,171,85,0.9883720930232558,0,1,86,29,28.0,146.0,0.0,1.0,0.0,4.0
tissuemnist,MobileNetV3,L50_G50,tralo,1,86,2400,171,46,0.5348837209302325,0,1,86,7,30.0,,,,,
