dataset,model,cap,seed,fioretto_ldf,hounie_rcl,tralo,clip,bestdual,tralo_m_clip,bestdual_m_clip,tralo_m_bestdual,fio_m_clip,hou_m_clip,metric
dermmnist,MobileNetV3,L30_G30,1,0.6837560193962464,0.6525260774790133,0.6850382843900451,0.6932500096928088,0.6837560193962464,-0.008211725302763706,-0.009493990296562393,0.0012822649937986874,-0.009493990296562393,-0.040723932213795555,macroEq
dermmnist,MobileNetV3,L30_G30,2,0.7036070437278547,0.7004964515777842,0.6925745804660509,0.699601303620609,0.7036070437278547,-0.007026723154558101,0.004005740107245637,-0.011032463261803738,0.004005740107245637,0.0008951479571751575,macroEq
dermmnist,MobileNetV3,L30_G30,3,0.6622443743759899,0.6802899869835946,0.7118167297646911,0.7232250955052264,0.6802899869835946,-0.011408365740535276,-0.04293510852163185,0.03152674278109657,-0.06098072112923647,-0.04293510852163185,macroEq
dermmnist,MobileNetV3,L30_G30,4,0.6795426535199438,0.5971197071528221,0.64123665417043,0.7049532090003271,0.6795426535199438,-0.06371655482989713,-0.02541055548038329,-0.03830599934951384,-0.02541055548038329,-0.10783350184750495,macroEq
dermmnist,MobileNetV3,L50_G50,1,0.7261095197055006,0.6167989363569445,0.7356062435619075,0.7234773854630517,0.7261095197055006,0.012128858098855777,0.0026321342424489025,0.009496723856406875,0.0026321342424489025,-0.10667844910610724,macroEq
dermmnist,MobileNetV3,L50_G50,2,0.740374871845398,0.7112030763810243,0.7296964057088103,0.7306011249175335,0.740374871845398,-0.0009047192087231481,0.00977374692786448,-0.010678466136587628,0.00977374692786448,-0.01939804853650917,macroEq
dermmnist,MobileNetV3,L50_G50,3,0.6990448327160275,0.6918938892402204,0.7224192154795624,0.7570039873382617,0.6990448327160275,-0.03458477185869924,-0.05795915462223422,0.023374382763534984,-0.05795915462223422,-0.06511009809804125,macroEq
dermmnist,MobileNetV3,L50_G50,4,0.7095523572121492,0.6120485289437388,0.7340865626018778,0.7346920200907782,0.7095523572121492,-0.0006054574889003961,-0.02513966287862901,0.024534205389728614,-0.02513966287862901,-0.12264349114703932,macroEq
dermmnist,RegNetY400MF,L30_G30,1,0.6447995230044238,0.6489867752201384,0.6977928217742075,0.7065199143464719,0.6489867752201384,-0.008727092572264339,-0.05753313912633351,0.04880604655406917,-0.0617203913420481,-0.05753313912633351,macroEq
dermmnist,RegNetY400MF,L30_G30,2,0.6689971169303742,0.6157227653644753,0.6503114442823917,0.7027304869980979,0.6689971169303742,-0.05241904271570619,-0.0337333700677237,-0.018685672647982488,-0.0337333700677237,-0.08700772163362258,macroEq
dermmnist,RegNetY400MF,L30_G30,3,0.6362610526390272,0.6097409135685086,0.6103296415670602,0.7283322484106687,0.6362610526390272,-0.11800260684360853,-0.09207119577164147,-0.02593141107196706,-0.09207119577164147,-0.11859133484216011,macroEq
dermmnist,RegNetY400MF,L30_G30,4,0.6777103272506845,0.5804516055245933,0.7029446374348323,0.7070703876534047,0.6777103272506845,-0.0041257502185724215,-0.02936006040272021,0.02523431018414779,-0.02936006040272021,-0.1266187821288114,macroEq
dermmnist,RegNetY400MF,L50_G50,1,0.6627633199498756,0.5938830807998067,0.7192927707375489,0.7381695625459648,0.6627633199498756,-0.018876791808415838,-0.07540624259608919,0.05652945078767335,-0.07540624259608919,-0.1442864817461581,macroEq
dermmnist,RegNetY400MF,L50_G50,2,0.6852589485616668,0.6851637832017671,0.7106074080877033,0.7260305360129392,0.6852589485616668,-0.015423127925235924,-0.040771587451272406,0.025348459526036482,-0.040771587451272406,-0.040866752811172136,macroEq
