campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
headroom_b30,octmnist,RegNetY400MF,L50_G50,hounie_rcl,4,125,1000,250,0.125,154.5,133,167,0.1545,0.8090614886731392,yes,0.5186666666666666,0.7125334051364658,0.7304984075513876,155.25,125.0,0.0,0,-0.010666666666666644,-0.030666666666666634,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L50_G50,tralo,4,125,1000,250,0.125,154.5,133,167,0.1545,0.8090614886731392,yes,0.5106666666666667,0.707479532303442,0.7296873397416004,155.25,125.0,0.0,0,-0.010666666666666644,-0.030666666666666634,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L30_G30,danits_lp,4,51,2400,171,0.02125,231.25,157,288,0.09635416666666667,0.22054054054054054,yes,0.2702702702702703,0.39448385124671403,0.4013585151995917,231.25,51.0,0.0,0,0.0,-0.040540540540540536,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,51,2400,171,0.02125,231.25,157,288,0.09635416666666667,0.22054054054054054,yes,0.22972972972972971,0.35236660631037575,0.3340284718385518,81.5,51.0,0.0,0,0.0,-0.040540540540540536,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L30_G30,heuristic,4,51,2400,171,0.02125,231.25,157,288,0.09635416666666667,0.22054054054054054,yes,0.2702702702702703,0.39448385124671403,0.4013585151995917,231.25,51.0,0.0,0,0.0,-0.040540540540540536,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,51,2400,171,0.02125,231.25,157,288,0.09635416666666667,0.22054054054054054,yes,0.22972972972972971,0.35249002388094947,0.33356436018263025,80.25,51.0,0.0,0,0.0,-0.040540540540540536,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L30_G30,tralo,4,51,2400,171,0.02125,231.25,157,288,0.09635416666666667,0.22054054054054054,yes,0.22972972972972971,0.35239347929957354,0.3336009566266898,79.5,51.0,0.0,0,0.0,-0.040540540540540536,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L50_G50,danits_lp,4,86,2400,171,0.035833333333333335,231.25,157,288,0.09635416666666667,0.37189189189189187,yes,0.3443579766536965,0.39448385124671403,0.4112421802514319,231.25,86.0,0.0,0,0.0,-0.023346303501945526,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,86,2400,171,0.035833333333333335,231.25,157,288,0.09635416666666667,0.37189189189189187,yes,0.31906614785992216,0.35513121790302554,0.3489926790233092,88.25,86.0,0.0,0,0.0,-0.023346303501945526,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L50_G50,heuristic,4,86,2400,171,0.035833333333333335,231.25,157,288,0.09635416666666667,0.37189189189189187,yes,0.3443579766536965,0.39448385124671403,0.4112421802514319,231.25,86.0,0.0,0,0.0,-0.023346303501945526,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,86,2400,171,0.035833333333333335,231.25,157,288,0.09635416666666667,0.37189189189189187,yes,0.32101167315175094,0.35632227143386314,0.34708940183613407,89.0,86.0,0.0,0,0.0,-0.023346303501945526,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,MobileNetV3,L50_G50,tralo,4,86,2400,171,0.035833333333333335,231.25,157,288,0.09635416666666667,0.37189189189189187,yes,0.32101167315175094,0.3558061947456265,0.3492432072798096,85.25,86.0,0.0,0,0.0,-0.023346303501945526,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L30_G30,danits_lp,4,51,2400,171,0.02125,168.0,142,210,0.07,0.30357142857142855,yes,0.27477477477477474,0.38417038007380194,0.41474777799542173,168.0,51.0,0.0,0,-0.015765765765765757,-0.015765765765765757,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,4,51,2400,171,0.02125,168.0,142,210,0.07,0.30357142857142855,yes,0.268018018018018,0.38910479189838176,0.3842448557763467,129.0,51.0,0.0,0,-0.015765765765765757,-0.015765765765765757,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L30_G30,heuristic,4,51,2400,171,0.02125,168.0,142,210,0.07,0.30357142857142855,yes,0.27477477477477474,0.38417038007380194,0.41474777799542173,168.0,51.0,0.0,0,-0.015765765765765757,-0.015765765765765757,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,4,51,2400,171,0.02125,168.0,142,210,0.07,0.30357142857142855,yes,0.2702702702702703,0.39300012725370115,0.3877739690418746,130.25,51.0,0.0,0,-0.015765765765765757,-0.015765765765765757,29.0,28.0,1,29,,0.0001,5e-06,
