dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
dermmnist,MobileNetV3,L50_G50,3,2.0,268.0,285.26,112.0,0.0,0.0,0.05,0.468678,0
dermmnist,MobileNetV3,L50_G50,3,5.0,281.0,293.24,112.0,0.0,0.0,0.06,0.103284,1
dermmnist,MobileNetV3,L50_G50,3,10.0,100.0,103.18,112.0,1.0,1.0,0.06,0.015051,1
dermmnist,MobileNetV3,L50_G50,3,15.0,127.0,125.71,112.0,0.0,0.0,0.06,0.011189,1
dermmnist,MobileNetV3,L50_G50,3,16.0,84.0,87.88,112.0,1.0,1.0,0.06,0.007516,0
dermmnist,MobileNetV3,L50_G50,3,19.0,104.0,96.59,112.0,1.0,1.0,0.06,0.010843,0
dermmnist,MobileNetV3,L50_G50,3,20.0,199.0,201.29,112.0,0.0,0.0,0.06,0.014414,1
dermmnist,MobileNetV3,L50_G50,3,23.0,87.0,87.09,112.0,1.0,1.0,0.06,0.012165,0
dermmnist,MobileNetV3,L50_G50,3,25.0,118.0,118.9,112.0,0.0,0.0,0.06,0.002978,1
dermmnist,MobileNetV3,L50_G50,3,26.0,82.0,88.13,112.0,1.0,1.0,0.06,0.005463,0
dermmnist,MobileNetV3,L50_G50,3,30.0,119.0,117.61,112.0,0.0,0.0,0.06,0.01279,1
dermmnist,MobileNetV3,L50_G50,4,2.0,174.0,211.61,112.0,0.0,0.0,0.05,0.480407,0
dermmnist,MobileNetV3,L50_G50,4,4.0,94.0,108.63,112.0,1.0,1.0,0.05,0.180345,0
dermmnist,MobileNetV3,L50_G50,4,5.0,194.0,203.73,112.0,0.0,0.0,0.05,0.106271,1
dermmnist,MobileNetV3,L50_G50,4,7.0,92.0,97.89,112.0,1.0,1.0,0.05,0.043517,0
dermmnist,MobileNetV3,L50_G50,4,10.0,124.0,126.74,112.0,0.0,0.0,0.05,0.02319,1
dermmnist,MobileNetV3,L50_G50,4,11.0,84.0,82.57,112.0,1.0,1.0,0.05,0.024232,0
dermmnist,MobileNetV3,L50_G50,4,14.0,87.0,90.54,112.0,1.0,1.0,0.05,0.019188,0
dermmnist,MobileNetV3,L50_G50,4,15.0,221.0,219.5,112.0,0.0,0.0,0.05,0.013146,1
