campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,46,67,67,0,0.5327916855781077,0.36551724137931035,0.36551724137931035,0.5874516101805349,0.5876144177519714,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/fioretto_ldf/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,48,67,67,0,0.4969076459931342,0.35172413793103446,0.35172413793103446,0.627579589933989,0.627579589933989,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/fioretto_ldf/seed_4
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,heuristic,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,333,67,67,0,0.44743382637786155,0.25517241379310346,0.25517241379310346,0.32276518543072,0.32276518543072,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/heuristic/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,heuristic,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,135,67,67,0,0.5229278588030769,0.33793103448275863,0.33793103448275863,0.385539862696823,0.385539862696823,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/heuristic/seed_4
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,20,67,67,0,0.4750693504749419,0.33793103448275863,0.33793103448275863,0.5730159010954384,0.5730159010954384,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/hounie_rcl/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,33,67,67,0,0.4711392868876625,0.3448275862068966,0.3448275862068966,0.6333712826826355,0.6333712826826355,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/hounie_rcl/seed_4
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,60,67,67,0,0.5371340723439506,0.38620689655172413,0.3793103448275862,0.5980943426082351,0.5965515172185069,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/tralo/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,63,67,67,0,0.5156414980379509,0.36551724137931035,0.3586206896551724,0.6458101084001411,0.6441635110638886,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/tralo/seed_4
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,47,67,67,0,0.5406173270714683,0.3586206896551724,0.3586206896551724,0.6031124082121853,0.6031124082121853,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/tralo_bounded/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2003,223,67,67,3,52,67,67,0,0.5267248939820242,0.3586206896551724,0.3586206896551724,0.6406874623265085,0.6406874623265085,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/tralo_bounded/seed_4
