dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,lam0,lam_max,lam_final,soft0,soft_min,soft_final,n_ep_lam_frozen,cstr_loss_max,u_recursion_maxerr,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,67,2003,223,25,25,UNSET->default True,16.0,10,0.013647,21.0,5,0,210.0,0.0,0.0,-0.7802989603434504,0.0017937400083354376,-0.937436866561092,5,0.000789,0.010066,0.008991,225.0367,11.052204000000096,11.052204000000096,,0.004002,7.499999999999911e-07,19.0,6.0,0.000469,0.000883198165758965,0.16495826865671784,0.16495826865671784,6.0,-0.38928571428571423,-0.9999999999999999,46.074659000000054,35.02245499999996
dermmnist,RegNetY400MF,L30_G30,3,hounie_rcl,67,2003,223,21,21,UNSET->default True,14.0,8,0.012075,17.0,5,0,480.0,0.0,0.0,-0.7767427231525696,-0.08803309566091672,-0.8728715609439694,8,0.001239,0.008937,0.008109,315.1717,17.14332700000005,17.14332700000005,,0.003491,8.300000000000039e-07,16.0,5.0,0.000409,0.0007396749286003953,0.2558705522388067,0.2558705522388067,5.0,-0.19780219780219782,-1.0,56.340034000000045,39.196706999999996
dermmnist,RegNetY400MF,L30_G30,4,hounie_rcl,67,2003,223,26,26,UNSET->default True,16.0,11,0.012051,22.0,5,0,222.0,0.0,0.0,-0.5839804582163945,0.42857142857142855,-0.9534625892455922,9,0.000785,0.0113,0.01032,224.2355,12.564468999999754,12.564468999999754,,0.004678,7.200000000000609e-07,21.0,5.0,0.000523,0.0010647741544571787,0.18752938805969782,0.18752938805969782,5.0,0.05714285714285713,-1.0,51.364582000000055,38.8001130000003
octmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,75,1000,250,29,29,UNSET->default True,,0,0.01635,,0,0,133.0,99.0,255.0,0.03473762115769554,0.03473762115769554,,125,0.379596,15.7655,15.7655,150.9192,127.60260000000017,197.36379999999974,0.0,4034.115479,,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,75,1000,250,29,29,UNSET->default True,27.0,3,0.013876,29.0,1,0,215.0,0.0,0.0,-0.23613513973865236,0.054414813073603324,,57,0.604806,12.276099,12.276099,195.9612,93.33860000000023,,1.0,2964.10907,,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,75,1000,250,29,29,UNSET->default True,,0,0.015656,,0,0,281.0,61.0,235.0,0.1912508064811603,0.1912508064811603,,106,0.705563,14.73422,14.73422,216.11260000000001,114.13099999999997,191.61160000000024,0.0,3621.736694,,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,75,1000,250,29,29,UNSET->default True,,0,0.014206,,0,0,225.0,103.0,187.0,-0.3204246232622288,-0.3204246232622288,,127,0.618642,13.515015,13.515015,198.72840000000002,136.18320000000006,167.9804000000001,0.0,3045.281555,,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,1,hounie_rcl,75,1000,250,29,29,UNSET->default True,,0,0.013611,,0,0,133.0,63.0,163.0,0.07322488767944316,0.07322488767944316,,107,0.000759,0.026427,0.026427,150.89999999999998,111.42499999999987,165.587,,0.020616,7.699999999999808e-07,29.0,0.0,0.001134,0.0019529577568396098,1.485666666666665,2.2078266666666666,0.0,0.083743842364532,,,
octmnist,RegNetY400MF,L30_G30,2,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.012457,,0,0,215.0,65.0,237.0,0.16165600780501568,0.11610078411337166,,108,0.00121,0.028363,0.028363,196.0,110.32199999999999,190.659,,0.022037,6.700000000000054e-07,29.0,0.0,0.001211,0.0020817009871737105,1.4709599999999998,2.5421199999999997,0.0,0.05090311986863711,,,
octmnist,RegNetY400MF,L30_G30,3,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.012807,,0,0,281.0,63.0,63.0,-0.02364823272032902,0.08485014449241636,,69,0.001411,0.025368,0.025368,216.1,112.86400000000003,112.86400000000003,,0.01951,8.399999999999987e-07,29.0,0.0,0.001105,0.0018918179087850924,1.5048533333333338,1.5048533333333338,0.0,0.04159824849480022,,,
