path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,20,20,20,5,5,20,5,5,False,True,16.0,16.0,1.0,16.0,ABSENT->default True,5,5,5,5,14.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,19.0,ABSENT->default True,0,0,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,29,29,29,3,3,29,3,3,False,False,27.0,27.0,1.0,51.0,ABSENT->default True,3,3,0,0,22.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,25,25,25,5,5,25,5,5,False,True,21.0,21.0,1.0,62.0,ABSENT->default True,5,5,0,0,16.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,59.0,ABSENT->default True,5,5,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,26,26,26,5,5,26,5,5,False,True,22.0,22.0,1.0,58.0,ABSENT->default True,5,5,0,0,16.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,dermmnist,RegNetY400MF,L30_G30,tralo,1,29,29,7,29,0,0,29,0,0,False,False,,,0.0,57.0,False,0,0,0,0,,151.0,225.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,dermmnist,RegNetY400MF,L30_G30,tralo,2,29,29,7,29,0,0,29,0,0,False,False,,,0.0,85.0,False,0,0,0,0,,152.0,218.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,dermmnist,RegNetY400MF,L30_G30,tralo,3,29,29,7,29,0,0,29,0,0,False,False,,,0.0,31.0,False,0,0,0,0,,143.0,307.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,dermmnist,RegNetY400MF,L30_G30,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,23.0,False,0,0,0,0,,90.0,204.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,50.0,ABSENT->default True,0,0,0,0,,,
