campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc5e-5,dermmnist,MobileNetV3,L50_G50,4,112,1,15.0,12,27,1,22.0,5,0.0,0.0,62.47582499999993,62.47582499999993,55,21,0.00802,0.007254,0,0.4421801339285721,0.5089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.18760966875559548
lrc5e-5,octmnist,MobileNetV3,L50_G50,1,125,1,22.0,7,29,1,1.0,7,0.0,0.0,53.48299999999999,53.48299999999999,39,23,0.010686,0.008579,0,0.5721360000000001,0.688,1.0,1.0,1.0,1.0,0.3711648769425734,0.3932578612129812,1.0,6.0,0.05919235134691389
lrc5e-5,octmnist,MobileNetV3,L50_G50,2,125,1,22.0,7,29,1,1.0,5,0.0,0.0,73.076,73.076,54,24,0.008185,0.007121,0,0.41539200000000004,0.568,1.0,1.0,1.0,0.8150178408617651,0.3239681218032588,0.5302936387904027,1.0,5.0,0.02668373348471491
lrc5e-5,octmnist,MobileNetV3,L50_G50,3,125,1,22.0,7,29,1,12.0,3,0.0,0.0,91.69200000000002,91.69200000000002,76,25,0.010786,0.010215,0,0.2664639999999998,0.392,1.0,1.0,1.0,0.7395567838681577,0.7828083653435738,0.37882070847408794,1.0,4.0,0.08712040910242551
lrc5e-5,octmnist,MobileNetV3,L50_G50,4,125,1,18.0,7,25,1,0.0,8,0.0,0.0,69.72800000000001,69.72800000000001,58,18,0.007428,0.00573,0,0.44217599999999996,0.536,1.0,1.0,1.0,1.0,0.7135304123948323,0.6033163454823705,1.0,7.0,0.03409642131152071
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,1,86,0,,0,29,1,0.0,1,114.0,0.0,146.5976,111.76640000000002,69,28,0.01059,0.01059,1,-0.7046232558139535,0.19767441860465115,0.5619960155582936,0.042732558139534985,0.037510636470799524,0.023552627921843382,0.042892170217402985,0.05797570397357066,,,0.053129601848328926
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,2,86,0,,0,29,1,10.0,1,84.0,0.0,132.16880000000032,104.89519999999996,81,28,0.012892,0.012892,1,-0.5368465116279106,0.05813953488372093,0.5941166468287684,0.24872352706122375,0.2325958200013607,0.007003669110912776,0.15804017090604175,0.0713073005093376,,,0.12427074210592166
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,3,86,0,,0,29,1,0.0,3,198.0,0.0,191.61680000000018,84.07520000000002,84,28,0.007649,0.007649,1,-1.2281023255813974,0.023255813953488372,0.33682201563750547,0.21405607894663317,0.3571965457916441,0.1103539267552238,0.04616079308717039,0.019507744193299224,,,0.038599458281033415
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,4,86,0,,0,29,1,0.0,4,266.0,0.0,225.30799999999985,89.96960000000003,69,28,0.008659,0.008659,1,-1.6198604651162773,0.19767441860465115,0.5419428817142637,0.3120268595867146,0.25571946181508126,0.09716427549754915,0.07945528924031495,0.13966056876819113,,,0.03846275074023868
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,1,67,1,12.0,14,26,1,21.0,5,0.0,0.0,17.571968999999903,17.571968999999903,11,20,0.011143,0.010275,0,0.7377318059701506,0.835820895522388,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,6.0,0.49580577607931803
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,2,67,1,13.0,13,26,1,21.0,5,0.0,0.0,25.934493999999972,25.934493999999972,21,20,0.010589,0.009928,0,0.6129180000000004,0.6865671641791045,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,6.0,0.3153364595212296
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,3,67,1,16.0,12,28,1,23.0,5,0.0,0.0,16.696657999999942,16.696657999999942,10,22,0.01242,0.01157,0,0.7507961492537322,0.8507462686567164,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,6.0,0.46619929415257494
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,4,67,1,13.0,13,26,1,21.0,5,0.0,0.0,23.981569000000057,23.981569000000057,15,21,0.011169,0.010591,0,0.6420661343283574,0.7761194029850746,1.0,1.0,0.9999999999999997,1.0,0.9999999999999999,0.9999999999999998,1.0,5.0,0.3427174493611079
lrc5e-5,octmnist,RegNetY400MF,L30_G30,1,75,1,22.0,7,29,1,27.0,2,0.0,0.0,27.648000000000074,27.648000000000074,13,26,0.025086,0.024339,0,0.631359999999999,0.8266666666666667,1.0,1.0,0.9999999999999999,0.9067881630108912,0.897653434568514,0.794069149904552,1.0,3.0,0.23921636530041807
lrc5e-5,octmnist,RegNetY400MF,L30_G30,2,75,1,28.0,1,29,0,,0,135.0,73.0,146.4770000000001,113.52400000000011,112,28,0.023088,0.023088,1,-0.9530266666666679,-0.49333333333333335,0.40386765949322667,0.14535733262486494,0.12484969047371808,0.020892885622798594,0.06582861931699222,0.06718497872964602,,,0.08905387411510142
lrc5e-5,octmnist,RegNetY400MF,L30_G30,3,75,1,25.0,4,29,0,,0,73.0,73.0,115.92400000000015,115.92400000000015,88,28,0.028607,0.028607,1,-0.5456533333333353,-0.17333333333333334,1.0,1.0,0.3412432432432433,0.4601389062334901,0.21698018791258464,0.2956654396842495,,,0.09383763116619746
lrc5e-5,octmnist,RegNetY400MF,L30_G30,4,75,1,20.0,9,29,1,24.0,5,0.0,0.0,6.93400000000004,6.93400000000004,2,22,0.020271,0.017709,0,0.9075466666666662,0.9733333333333334,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,7.0,0.11558278987121005
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,1,51,0,,0,29,0,,0,212.0,84.0,166.51679999999993,100.06079999999997,93,28,0.015242,0.015242,1,-2.265035294117646,-0.8235294117647058,0.045299642589976846,0.17442633555551562,0.06231349833245765,0.06868354461937416,0.009484942184832996,0.12473271560940863,,,0.001368639310271415
