Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
5,205,211.95,0.06,0,0.394539,4,dermmnist,RegNetY400MF,L50_G50,1
10,173,177.85,0.07,0,0.553536,9,dermmnist,RegNetY400MF,L50_G50,1
15,171,170.2,0.08,0,0.794877,14,dermmnist,RegNetY400MF,L50_G50,1
20,196,197.54,0.09,0,2.015978,19,dermmnist,RegNetY400MF,L50_G50,1
25,154,155.59,0.1,0,1.01972,24,dermmnist,RegNetY400MF,L50_G50,1
30,138,138.3,0.11,0,0.545403,29,dermmnist,RegNetY400MF,L50_G50,1
2,172,225.1,0.05,0,0.151345,1,dermmnist,RegNetY400MF,L50_G50,2
5,169,182.81,0.06,0,0.258824,4,dermmnist,RegNetY400MF,L50_G50,2
10,196,207.6,0.07,0,0.898537,9,dermmnist,RegNetY400MF,L50_G50,2
15,208,210.39,0.08,0,1.610891,14,dermmnist,RegNetY400MF,L50_G50,2
20,132,136.21,0.09,0,0.260917,19,dermmnist,RegNetY400MF,L50_G50,2
25,184,183.96,0.1,0,2.291033,24,dermmnist,RegNetY400MF,L50_G50,2
30,204,212.03,0.11,0,4.599399,29,dermmnist,RegNetY400MF,L50_G50,2
2,215,196.03,0.05,0,0.183256,1,tissuemnist,RegNetY400MF,L50_G50,4
5,207,199.15,0.06,0,0.558111,4,tissuemnist,RegNetY400MF,L50_G50,4
10,224,237.09,0.07,0,1.597692,9,tissuemnist,RegNetY400MF,L50_G50,4
15,136,148.3,0.08,0,1.276701,14,tissuemnist,RegNetY400MF,L50_G50,4
20,202,207.83,0.09,0,3.72194,19,tissuemnist,RegNetY400MF,L50_G50,4
25,242,245.54,0.1,0,6.038885,24,tissuemnist,RegNetY400MF,L50_G50,4
30,236,237.16,0.11,0,7.813216,29,tissuemnist,RegNetY400MF,L50_G50,4
2,158,179.78,0.05,0,0.161876,1,tissuemnist,RegNetY400MF,L50_G50,3
5,188,206.09,0.06,0,0.581488,4,tissuemnist,RegNetY400MF,L50_G50,3
10,214,220.94,0.07,0,1.459435,9,tissuemnist,RegNetY400MF,L50_G50,3
15,180,180.3,0.08,0,1.961124,14,tissuemnist,RegNetY400MF,L50_G50,3
20,104,113.23,0.09,0,0.509781,19,tissuemnist,RegNetY400MF,L50_G50,3
