dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_2,29,True,3,27.0,True,0.10344827586206896,29.0,,,
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_3,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_4,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_1,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_2,29,True,1,29.0,True,0.034482758620689655,,,,
octmnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_3,29,True,1,29.0,True,0.034482758620689655,,,,
octmnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_4,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L30_G30,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,,0.9948,0.9935,False
octmnist,RegNetY400MF,L30_G30,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,,0.9932,0.9929,False
octmnist,RegNetY400MF,L30_G30,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_3,30,False,0,,False,0.0,,0.9922,0.9922,False
octmnist,RegNetY400MF,L30_G30,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_4,30,False,0,,False,0.0,,0.9936,0.992,False
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_1,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_3,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_4,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_1,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_3,29,True,0,,False,0.0,,,,
