path,dataset,model,cap,method,seed,cls,n_pool,K_cfg,count_raw,E,max_e,inferred,nrows,n_sat,first_sat,n_down,s,sat_epoch_csv,restore_kind,gp_raw,K,key,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,2,1000,,111,29,29,False,29,11,2.0,5,01101000100000010001000011111,2.0,,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,OSC_THEN_LOCK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,2,1000,,111,29,29,False,29,1,26.0,1,00000000000000000000000001000,26.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,2,1000,,117,29,29,False,29,7,5.0,3,00001001000000000010000001111,5.0,,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,octmnist,MobileNetV3,L50_G50,hounie_rcl,1,2,1000,,96,29,29,False,29,3,2.0,3,01000000001010000000000000000,2.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,octmnist,MobileNetV3,L50_G50,hounie_rcl,2,2,1000,,113,29,29,False,29,2,2.0,1,01100000000000000000000000000,2.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,octmnist,MobileNetV3,L50_G50,hounie_rcl,3,2,1000,,86,29,29,False,29,4,11.0,3,00000000001001000000000010001,11.0,,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,octmnist,MobileNetV3,L50_G50,hounie_rcl,4,2,1000,,64,29,29,False,29,4,8.0,2,00000001001000000000000000011,8.0,,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,octmnist,MobileNetV3,L50_G50,tralo,1,2,1000,,103,29,29,False,11,4,2.0,4,01000000000000000100010000100,3.0,,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,octmnist,MobileNetV3,L50_G50,tralo,2,2,1000,,99,29,29,False,12,7,2.0,4,01110011000000000010100000000,3.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,octmnist,MobileNetV3,L50_G50,tralo,3,2,1000,,108,29,29,False,11,5,7.0,5,00000010000001000100001010000,8.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,octmnist,MobileNetV3,L50_G50,tralo,4,2,1000,,122,29,29,False,9,3,4.0,3,00010000010010000000000000000,5.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,4,2400,,61,29,29,False,29,1,1.0,1,10000000000000000000000000000,1.0,,0.5,86,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,4,2400,,83,29,29,False,29,2,11.0,2,00000000001000000000001000000,11.0,fully_satisfied,0.5,86,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,4,2400,,66,29,29,False,29,5,1.0,3,11101000000000000010000000000,1.0,fully_satisfied,0.5,86,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,SAT_THEN_DRIFT
