path,dataset,model,cap,method,seed,warmup,cepochs,sct,ce_skip_cfg,n_rows,n_repeat_hdr,max_e,first_e,E,inferred_tail,n_sat,first_sat,n_down,held_tail,n_local_groups,ex_first,ex_min,sat_epoch_csv,sat_epoch_present,sat_epoch_raw,min_total_excess,min_excess_epoch,best_sat_epoch,restored_from,off_sched_unsat,off_sched_sat,missing_sched,obs_frac
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,MobileNetV3,L30_G30,tralo,1,1,29,ABSENT(5),False,7,0,29,1,29,False,1,1.0,1,False,2.0,0.0,0.0,2.0,True,2,0.0,2.0,,2.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,MobileNetV3,L30_G30,tralo,2,1,29,ABSENT(5),False,7,0,29,1,29,False,0,,0,False,2.0,406.0,66.0,,True,,44.0,29.0,,29.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,MobileNetV3,L30_G30,tralo,3,1,29,ABSENT(5),False,9,0,29,1,29,False,2,8.0,2,False,2.0,50.0,0.0,9.0,True,9,0.0,9.0,,17.0,0,2,0,0.3103448275862069
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,MobileNetV3,L30_G30,tralo,4,1,29,ABSENT(5),False,8,0,29,1,29,False,3,1.0,2,False,2.0,0.0,0.0,2.0,True,2,0.0,2.0,,5.0,0,1,0,0.27586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),24,0,24,1,24,False,6,14.0,1,True,,69.0,0.0,14.0,True,14.0,0.0,14.0,,,0,0,0,0.8275862068965517
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,57.0,1.0,,True,,1.0,16.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),20,0,20,1,20,False,5,16.0,0,True,,313.0,0.0,16.0,True,16.0,0.0,16.0,,,0,0,0,0.6896551724137931
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),21,0,21,1,21,False,5,17.0,0,True,,125.0,0.0,17.0,True,17.0,0.0,17.0,,,0,0,0,0.7241379310344828
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,3,27.0,0,False,,69.0,0.0,27.0,True,27.0,0.0,27.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,4,26.0,0,False,,57.0,0.0,26.0,True,26.0,0.0,26.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),25,0,25,1,25,False,5,21.0,0,True,,313.0,0.0,21.0,True,21.0,0.0,21.0,,,0,0,0,0.8620689655172413
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,1,29,ABSENT(5),ABSENT(True),28,0,28,1,28,False,6,8.0,1,True,,125.0,0.0,8.0,True,8.0,0.0,8.0,,,0,0,0,0.9655172413793104
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,MobileNetV3,L50_G50,tralo,1,1,29,ABSENT(5),False,13,0,29,1,29,False,6,3.0,6,False,3.0,69.0,0.0,4.0,True,4,0.0,4.0,,26.0,0,6,0,0.4482758620689655
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,MobileNetV3,L50_G50,tralo,2,1,29,ABSENT(5),False,16,0,29,1,29,False,10,2.0,8,False,3.0,57.0,0.0,3.0,True,3.0,0.0,3.0,,,0,9,0,0.5517241379310345
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,MobileNetV3,L50_G50,tralo,3,1,29,ABSENT(5),False,11,0,29,1,29,False,5,9.0,5,False,3.0,313.0,0.0,10.0,True,10.0,0.0,10.0,,,0,4,0,0.3793103448275862
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,dermmnist,MobileNetV3,L50_G50,tralo,4,1,29,ABSENT(5),False,14,0,29,1,29,False,7,3.0,7,False,3.0,125.0,0.0,4.0,True,4,0.0,4.0,,23.0,0,7,0,0.4827586206896552
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,6,2.0,4,False,,236.0,0.0,2.0,True,2,0.0,2.0,,28.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,11,2.0,5,True,,6.0,0.0,2.0,True,2.0,0.0,2.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,26.0,1,False,,222.0,0.0,26.0,True,26,0.0,26.0,,26.0,0,0,0,1.0
