ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
dermmnist,L80_G80,fioretto_ldf,2,0.7845,0.8692,0.0998,0.2254,19.0,1.0,5.0,10.9079
dermmnist,L80_G80,fioretto_ldf,3,0.7916,0.8712,0.0972,0.217,14.0,1.0,5.0,10.6599
dermmnist,L80_G80,fioretto_ldf,4,0.7915,0.8772,0.0934,0.2174,12.0,1.0,4.0,9.3882
dermmnist,L80_G80,heuristic,1,0.7808,0.8672,0.1047,0.2319,18.0,0.0,,0.4906
dermmnist,L80_G80,heuristic,2,0.7533,0.8607,0.108,0.2387,21.0,0.0,,0.4711
dermmnist,L80_G80,heuristic,3,0.7804,0.8727,0.0908,0.2199,30.0,0.0,,0.4737
dermmnist,L80_G80,heuristic,4,0.7584,0.8657,0.1012,0.2354,37.0,0.0,,0.3059
dermmnist,L80_G80,hounie_rcl,1,0.7877,0.8737,0.0952,0.2212,13.0,1.0,53.0,49.1177
dermmnist,L80_G80,hounie_rcl,2,0.7842,0.8707,0.0985,0.2242,12.0,1.0,38.0,37.9273
dermmnist,L80_G80,hounie_rcl,3,0.7911,0.8702,0.0957,0.2151,5.0,1.0,26.0,28.6765
dermmnist,L80_G80,hounie_rcl,4,0.794,0.8777,0.0927,0.216,6.0,1.0,12.0,19.0117
dermmnist,L80_G80,tralo,1,0.7814,0.8722,0.0995,0.2218,1.0,1.0,57.0,33.9303
dermmnist,L80_G80,tralo,2,0.7829,0.8687,0.1027,0.2243,6.0,1.0,55.0,17.3809
dermmnist,L80_G80,tralo,3,0.7908,0.8697,0.0972,0.2163,5.0,1.0,54.0,15.7416
dermmnist,L80_G80,tralo,4,0.8015,0.8812,0.0923,0.2124,6.0,1.0,52.0,14.1379
dermmnist,L80_G80,tralo_bounded,1,0.7877,0.8737,0.0953,0.2213,14.0,1.0,56.0,11.3416
dermmnist,L80_G80,tralo_bounded,2,0.7786,0.8687,0.1,0.2245,11.0,1.0,54.0,9.9661
dermmnist,L80_G80,tralo_bounded,3,0.7914,0.8712,0.0967,0.2166,12.0,1.0,54.0,10.3919
dermmnist,L80_G80,tralo_bounded,4,0.7921,0.8782,0.0947,0.2178,13.0,1.0,52.0,8.3477
tissuemnist,L20_G20,danits_lp,1,0.3346,0.4838,0.405,0.8891,172.0,0.0,,0.5845
tissuemnist,L20_G20,danits_lp,2,0.3691,0.4771,0.4032,0.8881,160.0,0.0,,0.5986
tissuemnist,L20_G20,danits_lp,3,0.3221,0.4637,0.4115,0.9128,89.0,0.0,,0.596
tissuemnist,L20_G20,danits_lp,4,0.3272,0.4758,0.4223,0.9133,47.0,0.0,,0.3973
tissuemnist,L20_G20,fioretto_ldf,1,0.3509,0.5058,0.3881,0.849,9.0,0.0,,93.6277
tissuemnist,L20_G20,fioretto_ldf,2,0.3587,0.4992,0.3886,0.8578,4.0,1.0,24.0,38.4008
tissuemnist,L20_G20,fioretto_ldf,3,0.3429,0.4967,0.4083,0.888,9.0,1.0,14.0,25.6397
tissuemnist,L20_G20,fioretto_ldf,4,0.3599,0.5092,0.4022,0.8692,9.0,1.0,20.0,28.9025
tissuemnist,L20_G20,heuristic,1,0.3346,0.4838,0.405,0.8891,172.0,0.0,,0.5223
tissuemnist,L20_G20,heuristic,2,0.3691,0.4771,0.4032,0.8881,160.0,0.0,,0.5348
tissuemnist,L20_G20,heuristic,3,0.3233,0.4642,0.4115,0.9128,89.0,0.0,,0.5224
