ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
aider,MobileNetV3,0,synth_group,L80_G30,80,30,heuristic,1,0.8321,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G30,80,30,heuristic,2,0.8337,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G30,80,30,heuristic,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,danits_lp,1,0.9522,0.9732,0.9739,0.0134,0.0309,29.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,danits_lp,2,0.9549,0.9756,0.9765,0.0123,0.0225,21.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,danits_lp,3,0.9548,0.9748,0.9756,0.0101,0.0206,21.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,danits_lp,4,0.9633,0.9782,0.979,0.0106,0.0207,19.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,fioretto_ldf,1,0.9494,0.9697,0.9706,0.0261,0.0569,6.0,1.0,20.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,fioretto_ldf,2,0.9497,0.9706,0.9714,0.0292,0.0607,7.0,1.0,13.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,fioretto_ldf,3,0.9567,0.9748,0.9756,0.0219,0.0482,3.0,1.0,12.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,fioretto_ldf,4,0.9564,0.974,0.9748,0.0221,0.0511,5.0,1.0,15.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,heuristic,1,0.9522,0.9732,0.9739,0.0134,0.0309,29.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,heuristic,2,0.9549,0.9756,0.9765,0.0123,0.0225,21.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,heuristic,3,0.9548,0.9748,0.9756,0.0101,0.0206,21.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G80,80,80,heuristic,4,0.9633,0.9782,0.979,0.0106,0.0207,19.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,hounie_rcl,1,0.948,0.9689,0.9697,0.0287,0.0621,8.0,1.0,172.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,hounie_rcl,2,0.9398,0.9653,0.9664,0.0431,0.0932,24.0,1.0,65.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,hounie_rcl,3,0.9536,0.9723,0.9731,0.0313,0.0695,16.0,1.0,65.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,hounie_rcl,4,0.9479,0.9696,0.9706,0.0324,0.0707,19.0,1.0,126.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo,1,0.9498,0.9706,0.9714,0.0246,0.0503,1.0,1.0,72.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo,2,0.9497,0.9706,0.9714,0.0266,0.054,0.0,1.0,62.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo,3,0.957,0.9757,0.9765,0.0208,0.0437,0.0,1.0,61.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo,4,0.9568,0.9748,0.9756,0.0211,0.0431,1.0,1.0,66.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo_bounded,1,0.9494,0.9697,0.9706,0.026,0.0564,5.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo_bounded,2,0.9483,0.9697,0.9706,0.0278,0.0576,4.0,1.0,62.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo_bounded,3,0.9567,0.9748,0.9756,0.0201,0.0454,1.0,1.0,61.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G80,80,80,tralo_bounded,4,0.9564,0.974,0.9748,0.0231,0.0492,5.0,1.0,66.0,paperv2_phase1
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,danits_lp,1,0.7182,0.8136,0.8392,0.0995,0.218,100.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,danits_lp,2,0.7232,0.8208,0.8452,0.0834,0.199,204.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,danits_lp,3,0.7165,0.8232,0.8482,0.0757,0.1925,161.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,danits_lp,4,0.7504,0.8224,0.8487,0.0791,0.1901,158.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,fioretto_ldf,1,0.7246,0.8146,0.8402,0.1372,0.2897,14.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,fioretto_ldf,2,0.7194,0.8068,0.8347,0.145,0.3068,9.0,1.0,31.0,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,fioretto_ldf,3,0.7272,0.8147,0.8417,0.1385,0.2981,13.0,1.0,23.0,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,fioretto_ldf,4,0.7445,0.8221,0.8477,0.1259,0.2732,6.0,1.0,21.0,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,heuristic,1,0.7165,0.8128,0.8387,0.0995,0.218,100.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,heuristic,2,0.7228,0.8207,0.8452,0.0834,0.199,204.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,heuristic,3,0.7165,0.8232,0.8482,0.0757,0.1925,161.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,heuristic,4,0.7504,0.8224,0.8487,0.0791,0.1901,158.0,0.0,,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,hounie_rcl,1,0.7165,0.8161,0.8402,0.1378,0.297,19.0,1.0,73.0,paperv2_phase3
dermmnist,EfficientNetB0,4,loc_group,L20_G20,20,20,hounie_rcl,2,0.7184,0.8051,0.8328,0.1482,0.3131,13.0,1.0,75.0,paperv2_phase3
