ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
tissuemnist,L70_G70,fioretto_ldf,4,0.3747,0.0142775,0.504375,0.00554339,0.387675,0.01096,0.84935,0.0181243,22.75,13.301,1,0,5.75,5.5,13.4207,5.1725
tissuemnist,L70_G70,heuristic,4,0.36055,0.0213002,0.480925,0.00866886,0.4105,0.00863674,0.900825,0.0141236,52.75,33.9743,0.25,0.5,,,0.467925,0.0952966
tissuemnist,L70_G70,hounie_rcl,4,0.374825,0.0146564,0.5045,0.00530974,0.387625,0.011056,0.849725,0.0177513,23.5,12.7148,1,0,23.75,26.2726,30.401,24.5711
tissuemnist,L70_G70,tralo,4,0.379975,0.019835,0.50865,0.0105516,0.382975,0.0139915,0.846025,0.0213733,8.5,7.32575,1,0,55.75,5.5,20.7411,9.72571
tissuemnist,L70_G70,tralo_bounded,4,0.375225,0.0149616,0.5052,0.00541541,0.386525,0.0123495,0.8497,0.0177976,20.5,15.6738,1,0,55.75,5.5,13.4501,5.35692
tissuemnist,L80_G80,danits_lp,4,0.359625,0.0226916,0.480525,0.00864884,0.4105,0.00863674,0.900825,0.0141236,31.75,36.4177,0.5,0.57735,,,0.5368,0.0993109
tissuemnist,L80_G80,fioretto_ldf,4,0.37705,0.0158452,0.5049,0.00579022,0.386375,0.0124727,0.849,0.0184729,28.5,25.8263,1,0,5,4.69042,12.3042,4.1228
tissuemnist,L80_G80,heuristic,4,0.360725,0.0224599,0.480525,0.00911277,0.4105,0.00863674,0.900825,0.0141236,49.75,23.2002,0.5,0.57735,,,0.480775,0.0969542
tissuemnist,L80_G80,hounie_rcl,4,0.376375,0.0147181,0.504475,0.00588126,0.3867,0.0120676,0.849275,0.0181986,31.5,22.4277,1,0,22.5,24.8395,29.1478,23.4742
tissuemnist,L80_G80,tralo,4,0.376775,0.0160913,0.50655,0.0109327,0.38575,0.0130941,0.84755,0.0220322,17.75,17.7459,1,0,54.5,4.12311,45.2248,54.32
tissuemnist,L80_G80,tralo_bounded,4,0.37605,0.0151271,0.504875,0.00570343,0.38555,0.0133782,0.849575,0.0179123,30.5,23.5584,1,0,54.5,4.12311,12.292,4.17445
