binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
111.5,4,0.003500000000000003,0.019499999999999962,0.006999999999999951,-24.0,0.008699999999999986,-0.00550000000000006,0.022400000000000003,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7399,0.0726,0.3158,0.4898,0.465,0.0481,0.51,0.2287,223.0,True,1,contamination_dermmnist,L50_G50,50
111.5,4,-0.010999999999999996,-0.010799999999999976,-0.008383333333333298,-19.0,-0.008700000000000041,-0.03149999999999997,-0.004500000000000004,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7434,0.0998,0.3222,0.5363,0.5057,0.0656,0.5,0.2377,223.0,True,2,contamination_dermmnist,L50_G50,50
178.4,4,-0.021699999999999997,0.029900000000000038,0.0008999999999999009,-191.0,0.005099999999999993,0.08879999999999999,0.0179,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7713,0.0914,0.2537,0.6102500000000001,0.5593,0.0625,0.7556,0.1525,223.0,True,1,contamination_dermmnist,L20_G20,20
178.4,4,-0.0262,0.0,-0.028416666666666646,-62.0,-0.024399999999999977,0.0,0.0,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7748,0.096,0.2313,0.66805,0.6057,0.0547,0.6889,0.139,223.0,True,2,contamination_dermmnist,L20_G20,20
66.9,4,0.00040000000000001146,-0.005300000000000027,0.025216666666666665,-70.0,0.02079999999999993,-0.006399999999999961,-0.004500000000000004,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7783,0.0914,0.4433,0.6205833333333334,0.5953,0.0625,0.5385,0.3767,223.0,True,1,contamination_dermmnist,L70_G70,70
66.9,4,-0.0029,0.08040000000000003,-0.013183333333333436,9.0,0.00019999999999997797,-0.019299999999999984,0.10759999999999997,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7773,0.096,0.3576,0.6628333333333334,0.6192,0.0547,0.5514,0.2646,223.0,True,2,contamination_dermmnist,L70_G70,70
156.1,4,-0.02149999999999999,0.027600000000000013,0.01536666666666664,-166.0,0.017199999999999993,0.059699999999999975,0.0179,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7753,0.0914,0.3241,0.6116166666666667,0.5705,0.0625,0.7015,0.2108,223.0,True,1,contamination_dermmnist,L30_G30,30
156.1,4,-0.030399999999999996,0.006900000000000017,-0.02921666666666667,-39.0,-0.02400000000000002,0.014900000000000024,0.004500000000000004,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7783,0.096,0.3034,0.6705666666666666,0.6181,0.0547,0.6567,0.1973,223.0,True,2,contamination_dermmnist,L30_G30,30
111.5,4,-0.0034999999999999892,0.0,0.010750000000000037,-123.0,0.009199999999999986,0.0,0.0,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7803,0.0914,0.4192,0.6192166666666666,0.5906,0.0625,0.6306,0.3139,223.0,True,1,contamination_dermmnist,L50_G50,50
111.5,4,-0.015200000000000005,0.04139999999999999,-0.01746666666666674,18.0,-0.009000000000000008,0.04170000000000007,0.0358,data/dermmnist_sigma10/slice_1,dermmnist,MobileNetV3,7,0.7783,0.096,0.3598,0.6634000000000001,0.62,0.0547,0.5619,0.2646,223.0,True,2,contamination_dermmnist,L50_G50,50
