dataset,model,cap,method,seed,warmup_epochs,satisfied,sat_epoch,cep
tissuemnist,MobileNetV3,80,fioretto_ldf,2,50,True,16.0,16.0
tissuemnist,MobileNetV3,80,fioretto_ldf,3,50,True,20.0,20.0
tissuemnist,MobileNetV3,80,fioretto_ldf,4,50,True,17.0,17.0
tissuemnist,MobileNetV3,80,hounie_rcl,1,50,True,57.0,57.0
tissuemnist,MobileNetV3,80,hounie_rcl,2,50,True,68.0,68.0
tissuemnist,MobileNetV3,80,hounie_rcl,3,50,True,72.0,72.0
tissuemnist,MobileNetV3,80,hounie_rcl,4,50,True,68.0,68.0
tissuemnist,MobileNetV3,80,tralo,1,50,True,59.0,9.0
tissuemnist,MobileNetV3,80,tralo,2,50,True,65.0,15.0
tissuemnist,MobileNetV3,80,tralo,3,50,True,69.0,19.0
tissuemnist,MobileNetV3,80,tralo,4,50,True,68.0,18.0
tissuemnist,RegNetY400MF,20,fioretto_ldf,1,50,True,78.0,78.0
tissuemnist,RegNetY400MF,20,fioretto_ldf,2,50,False,,
tissuemnist,RegNetY400MF,20,fioretto_ldf,3,50,True,81.0,81.0
tissuemnist,RegNetY400MF,20,fioretto_ldf,4,50,True,91.0,91.0
tissuemnist,RegNetY400MF,20,hounie_rcl,1,50,True,76.0,76.0
tissuemnist,RegNetY400MF,20,hounie_rcl,2,50,True,106.0,106.0
tissuemnist,RegNetY400MF,20,hounie_rcl,3,50,True,96.0,96.0
tissuemnist,RegNetY400MF,20,hounie_rcl,4,50,True,92.0,92.0
tissuemnist,RegNetY400MF,20,tralo,1,50,True,119.0,69.0
tissuemnist,RegNetY400MF,20,tralo,2,50,True,157.0,107.0
tissuemnist,RegNetY400MF,20,tralo,3,50,True,125.0,75.0
tissuemnist,RegNetY400MF,20,tralo,4,50,True,135.0,85.0
tissuemnist,RegNetY400MF,30,fioretto_ldf,1,50,True,72.0,72.0
tissuemnist,RegNetY400MF,30,fioretto_ldf,2,50,True,91.0,91.0
tissuemnist,RegNetY400MF,30,fioretto_ldf,3,50,True,68.0,68.0
tissuemnist,RegNetY400MF,30,fioretto_ldf,4,50,True,75.0,75.0
tissuemnist,RegNetY400MF,30,hounie_rcl,1,50,True,76.0,76.0
tissuemnist,RegNetY400MF,30,hounie_rcl,2,50,True,89.0,89.0
tissuemnist,RegNetY400MF,30,hounie_rcl,3,50,True,72.0,72.0
