path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_transfer,FTTransformer,0.9_0.8,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,102,TRUE,TRUE,0.7081,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_combined,TabularResNet,0.5_0.3,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,285,TRUE,TRUE,0.5633,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_linear,TabularResNet,0.5_0.3,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,258,TRUE,TRUE,0.5905,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_transfer,TabularResNet,0.5_0.3,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,267,TRUE,TRUE,0.5633,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_balanced,TabularResNet,0.5_0.3,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,120,TRUE,TRUE,0.6471,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_combined,TabularResNet,0.5_0.3,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,119,TRUE,TRUE,0.6697,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_linear,TabularResNet,0.5_0.3,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,146,TRUE,TRUE,0.7127,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_transfer,TabularResNet,0.5_0.3,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,118,TRUE,TRUE,0.6833,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_balanced,TabularResNet,0.5_0.3,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,93,TRUE,TRUE,0.681,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_combined,TabularResNet,0.5_0.3,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,92,TRUE,TRUE,0.6652,,,,
