campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,MobileNetV3,heuristic,L40_G40,6,,0.5143,0.7328,0.753,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/heuristic/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L40_G40,10,,0.4057,0.6758,0.696,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/heuristic/seed_10/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L30_G30,6,,0.3654,0.7035,0.739,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/hounie_rcl/seed_6/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L30_G30,10,,0.3571,0.6956,0.731,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/hounie_rcl/seed_10/config.json
r2_seeds10,octmnist,ViTB16,tralo,L30_G30,6,,0.4554,0.7328,0.761,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/tralo/seed_6/config.json
r2_seeds10,octmnist,ViTB16,tralo,L30_G30,10,,0.4334,0.7204,0.75,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/tralo/seed_10/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L30_G30,6,,0.4492,0.7187,0.744,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/danits_lp/seed_6/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L30_G30,10,,0.4,0.6818,0.703,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/danits_lp/seed_10/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L30_G30,6,,0.4214,0.7202,0.752,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/fioretto_ldf/seed_6/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L30_G30,10,,0.3571,0.6934,0.728,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/fioretto_ldf/seed_10/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L30_G30,6,,0.4114,0.7163,0.749,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/tralo_bounded/seed_6/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L30_G30,10,,0.373,0.6983,0.731,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/tralo_bounded/seed_10/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L30_G30,6,,0.4214,0.7202,0.752,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/fioretto_alm/seed_6/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L30_G30,10,,0.3571,0.6934,0.728,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/fioretto_alm/seed_10/config.json
r2_seeds10,octmnist,ViTB16,heuristic,L30_G30,6,,0.4492,0.7186,0.744,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/heuristic/seed_6/config.json
r2_seeds10,octmnist,ViTB16,heuristic,L30_G30,10,,0.4062,0.6832,0.704,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L30_G30/heuristic/seed_10/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L40_G40,6,,0.5248,0.7543,0.775,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/hounie_rcl/seed_6/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L40_G40,10,,0.4779,0.7337,0.755,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/hounie_rcl/seed_10/config.json
