method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
tralo,RegNetY400MF,L40_G40,2,0.47398843930635837,0.7128117518388344,10,1.7406623681386313
tralo,RegNetY400MF,L40_G40,3,0.4508670520231214,0.7004303666645504,10,2.1421085953712464
tralo,RegNetY400MF,L40_G40,4,0.4553314121037464,0.7219815247491254,8,1.0104948083559673
fioretto_ldf,ViTB16,L40_G40,1,0.44376899696048633,0.7328090791552684,44,4.236562613646189
fioretto_ldf,ViTB16,L40_G40,2,0.47129909365558914,0.7228387781161509,41,19.22411492665609
fioretto_ldf,ViTB16,L40_G40,3,0.48823529411764705,0.7493126786175806,23,18.91356379588445
fioretto_ldf,ViTB16,L40_G40,4,0.44376899696048633,0.7358602434414576,44,3.9136834184328717
fioretto_restart,ViTB16,L40_G40,1,0.44376899696048633,0.7328090791552684,44,4.224190815289815
fioretto_restart,ViTB16,L40_G40,2,0.47129909365558914,0.7228387781161509,41,19.194257907072704
fioretto_restart,ViTB16,L40_G40,3,0.48823529411764705,0.7493126786175806,23,18.95194195508957
fioretto_restart,ViTB16,L40_G40,4,0.44376899696048633,0.7358602434414576,44,3.896247184276581
fioretto_rh,ViTB16,L40_G40,1,0.4629080118694362,0.7394069008450405,28,4.791674248377482
fioretto_rh,ViTB16,L40_G40,2,0.5244956772334294,0.7415991552101051,8,5.645954688390096
fioretto_rh,ViTB16,L40_G40,3,0.4956268221574344,0.7530970913711107,16,4.469345470269521
fioretto_rh,ViTB16,L40_G40,4,0.5,0.7550437342196918,14,5.008188982804616
hounie_rcl,ViTB16,L40_G40,1,0.3911671924290221,0.7140670692644745,68,13.902650340398152
hounie_rcl,ViTB16,L40_G40,2,0.42857142857142855,0.708732928562356,58,16.228002083301543
hounie_rcl,ViTB16,L40_G40,3,0.47023809523809523,0.7383362462200787,30,11.42874119679133
hounie_rcl,ViTB16,L40_G40,4,0.43425076452599387,0.7319731727961396,48,13.357248020172118
hounie_rh,ViTB16,L40_G40,1,0.4927536231884058,0.7477790807767708,12,16.358471949895222
hounie_rh,ViTB16,L40_G40,2,0.5189504373177842,0.7393750166380109,16,20.660763971010844
hounie_rh,ViTB16,L40_G40,3,0.5,0.7519960621917705,15,33.71136004130046
hounie_rh,ViTB16,L40_G40,4,0.5142857142857142,0.7581158779301195,2,17.082269755999246
tralo,ViTB16,L40_G40,1,0.48554913294797686,0.7453249909432109,10,4.643262298901876
tralo,ViTB16,L40_G40,2,0.5244956772334294,0.7425995447289093,8,4.584249234199524
tralo,ViTB16,L40_G40,3,0.52,0.7559214334208003,2,5.225881938139597
tralo,ViTB16,L40_G40,4,0.52,0.7602394647924806,2,4.311955372492473
