campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,4,50,0.4,0.8657,0.2601,0.7225,0.8397,0.0604,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/focal/seed_4/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,1,5,0.3862,0.8358,0.2511,0.6259,0.8098,0.0272,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/logit_adjust/seed_1/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,1,50,0.4,0.8657,0.2601,0.6999,0.8422,0.1042,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/logit_adjust/seed_1/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,2,5,0.3931,0.8507,0.2556,0.6095,0.8063,0.0321,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/logit_adjust/seed_2/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,2,50,0.4138,0.8955,0.2691,0.6818,0.8367,0.1023,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/logit_adjust/seed_2/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,3,5,0.3724,0.806,0.2422,0.6055,0.8053,0.0273,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/logit_adjust/seed_3/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,3,50,0.4069,0.8806,0.2646,0.6665,0.8238,0.1123,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/logit_adjust/seed_3/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,4,5,0.3586,0.7761,0.2332,0.6018,0.7963,0.0386,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/logit_adjust/seed_4/config.json
b1,logit_adjust,dermmnist,RegNetY400MF,logit_adjust,L30_G30,4,50,0.4,0.8657,0.2601,0.6477,0.8283,0.1151,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/logit_adjust/seed_4/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,1,5,0.4069,0.8806,0.2646,0.6664,0.8313,0.1097,,2.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,1,50,0.4483,0.9701,0.2915,0.7206,0.8442,0.1305,,4.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,2,5,0.3517,0.7612,0.2287,0.6684,0.8258,0.1223,,6.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,2,50,0.3862,0.8358,0.2511,0.7137,0.8387,0.1353,,3.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,3,5,0.4069,0.8806,0.2646,0.6413,0.8283,0.1171,,11.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/tralo/seed_3/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,3,50,0.4276,0.9254,0.278,0.7026,0.8412,0.1331,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/tralo/seed_3/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,4,5,0.4,0.8657,0.2601,0.6708,0.8178,0.1289,,2.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/tralo/seed_4/config.json
b1,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,4,50,0.3793,0.8209,0.2466,0.7269,0.8407,0.1351,,3.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/tralo/seed_4/config.json
b1,class_balanced,dermmnist,ViTB16,class_balanced,L30_G30,1,50,0.3793,0.8209,0.2466,0.6688,0.8118,0.1579,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/class_balanced/seed_1/config.json
b1,class_balanced,dermmnist,ViTB16,class_balanced,L30_G30,2,50,0.3931,0.8507,0.2556,0.7061,0.8283,0.1399,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/class_balanced/seed_2/config.json
b1,class_balanced,dermmnist,ViTB16,class_balanced,L30_G30,3,50,0.3793,0.8209,0.2466,0.7129,0.8283,0.1301,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/class_balanced/seed_3/config.json
b1,class_balanced,dermmnist,ViTB16,class_balanced,L30_G30,4,50,0.3724,0.806,0.2422,0.6944,0.8268,0.133,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/class_balanced/seed_4/config.json
b1,danits_lp,dermmnist,ViTB16,danits_lp,L30_G30,1,50,0.3586,0.7761,0.2332,0.6521,0.8098,0.1483,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,ViTB16,danits_lp,L30_G30,2,50,0.3793,0.8209,0.2466,0.6942,0.8233,0.1275,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,ViTB16,danits_lp,L30_G30,3,50,0.3586,0.7761,0.2332,0.6782,0.8108,0.1382,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/danits_lp/seed_3/config.json
