campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,1,hounie_rcl,1190,20,0.3089163341467307,-2.4114070742026557,3.4205222956517662,1.0,3,1,7.656431414348275,111,8,97,0.9917600917072933,0.6733766883762112,0.9895692589787957
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,2,tralo,1190,20,0.23491708472004347,-2.040061670041951,2.557818154177203,0.9388399925052603,3,1,6.904942432065793,103,20,97,0.9952585860619059,0.8270052927199014,0.9950640789495704
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,2,tralo_bounded,1190,20,0.23686869239897856,-2.050601485961337,2.6187327182723577,0.9484773886062182,3,1,6.994281295952248,103,19,97,0.9952585860619059,0.8136930846523389,0.9950640789495705
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,2,fioretto_ldf,1190,20,0.2385613614547838,-2.1154426763312264,2.7189454191679308,0.9501723447241452,3,1,7.222587229664104,103,12,97,0.9952585860619059,0.7818192195850752,0.9950640789495704
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,2,hounie_rcl,1190,20,0.2264722711488861,-2.3229867277957683,3.263433106328206,1.0,3,1,8.636504422050425,103,3,97,0.9952585860619059,0.44570379703179647,0.9947179948034941
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,3,tralo,1190,20,0.3130178529341985,-2.3204225739704025,2.4512633201829104,1.0,3,1,6.035911035961381,103,19,99,0.995734272439451,0.9054320471238666,0.994988096440347
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,3,tralo_bounded,1190,20,0.3101657101481184,-2.433493881410358,2.5774442556087602,1.0,3,1,6.3676024231249775,103,13,98,0.995734272439451,0.8820734179659206,0.9949421321086683
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,3,fioretto_ldf,1190,20,0.3252513939825059,-2.4171217141426444,2.693204292235377,1.0,3,1,6.354595382672948,103,16,98,0.995734272439451,0.8939722714764743,0.9948520420185782
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,3,hounie_rcl,1190,20,0.24522414546695334,-2.544473092612312,2.3576201358968696,0.9265651669660191,3,1,7.012079341451942,103,2,98,0.995734272439451,0.746054477923269,0.9950346904204048
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,4,tralo,1190,20,0.2344329802794065,-2.296850563639593,2.604220608482575,0.9853820121829339,3,1,7.207606710881879,101,19,95,0.9808180499733947,0.7489885127019004,0.9775312633671821
