model,scenario,constraint_pair,local_pct,global_pct,class,class_name,precision,recall,f1,n_pred,limit,n_true,f1_macro,accuracy
ConvNeXtTiny,multi_AKIEC_VASC,L30_G30,0.3,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6510830695230422,0.8632051922116825
ResNet18,multi_AKIEC_VASC,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.6912293468818179,0.8497254118821768
ResNet18,multi_AKIEC_VASC,L50_G50,0.5,0.5,6,VASC,1.0,0.5,0.6666666666666666,14,14,28,0.6912293468818179,0.8497254118821768
MobileNetV3,multi_AKIEC_VASC,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.6696580432762383,0.8442336495257114
MobileNetV3,multi_AKIEC_VASC,L50_G50,0.5,0.5,6,VASC,1.0,0.5,0.6666666666666666,14,14,28,0.6696580432762383,0.8442336495257114
EfficientNetB0,multi_AKIEC_VASC,L50_G50,0.5,0.5,0,AKIEC,0.9375,0.46153846153846156,0.6185567010309277,32,32,65,0.7159218264281926,0.8676984523215178
EfficientNetB0,multi_AKIEC_VASC,L50_G50,0.5,0.5,6,VASC,1.0,0.5,0.6666666666666666,14,14,28,0.7159218264281926,0.8676984523215178
ConvNeXtTiny,multi_AKIEC_VASC,L50_G50,0.5,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.7178752450712016,0.8716924613080379
ConvNeXtTiny,multi_AKIEC_VASC,L50_G50,0.5,0.5,6,VASC,1.0,0.5,0.6666666666666666,14,14,28,0.7178752450712016,0.8716924613080379
ResNet18,multi_AKIEC_VASC,L80_G80,0.8,0.8,0,AKIEC,0.75,0.6,0.6666666666666665,52,52,65,0.7289527604260153,0.8552171742386421
ResNet18,multi_AKIEC_VASC,L80_G80,0.8,0.8,6,VASC,0.9545454545454546,0.75,0.84,22,22,28,0.7289527604260153,0.8552171742386421
MobileNetV3,multi_AKIEC_VASC,L80_G80,0.8,0.8,0,AKIEC,0.7884615384615384,0.6307692307692307,0.7008547008547009,52,52,65,0.7193663444490354,0.8517224163754369
MobileNetV3,multi_AKIEC_VASC,L80_G80,0.8,0.8,6,VASC,1.0,0.7857142857142857,0.88,22,22,28,0.7193663444490354,0.8517224163754369
EfficientNetB0,multi_AKIEC_VASC,L80_G80,0.8,0.8,0,AKIEC,0.7307692307692307,0.5846153846153846,0.6495726495726495,52,52,65,0.7506793608564523,0.8716924613080379
EfficientNetB0,multi_AKIEC_VASC,L80_G80,0.8,0.8,6,VASC,1.0,0.7857142857142857,0.88,22,22,28,0.7506793608564523,0.8716924613080379
ConvNeXtTiny,multi_AKIEC_VASC,L80_G80,0.8,0.8,0,AKIEC,0.7884615384615384,0.6307692307692307,0.7008547008547009,52,52,65,0.7775060182808321,0.8796804792810784
ConvNeXtTiny,multi_AKIEC_VASC,L80_G80,0.8,0.8,6,VASC,1.0,0.7857142857142857,0.88,22,22,28,0.7775060182808321,0.8796804792810784
ResNet18,multi_AKIEC_VASC,L50_G30,0.5,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.6302094648085551,0.8422366450324513
ResNet18,multi_AKIEC_VASC,L50_G30,0.5,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6302094648085551,0.8422366450324513
MobileNetV3,multi_AKIEC_VASC,L50_G30,0.5,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.6159267368671253,0.8377433849226161
MobileNetV3,multi_AKIEC_VASC,L50_G30,0.5,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6159267368671253,0.8377433849226161
EfficientNetB0,multi_AKIEC_VASC,L50_G30,0.5,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.6504907269599555,0.8592111832251622
EfficientNetB0,multi_AKIEC_VASC,L50_G30,0.5,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6504907269599555,0.8592111832251622
ConvNeXtTiny,multi_AKIEC_VASC,L50_G30,0.5,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.6610398230200747,0.8652021967049426
ConvNeXtTiny,multi_AKIEC_VASC,L50_G30,0.5,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6610398230200747,0.8652021967049426
ResNet18,multi_AKIEC_VASC,L80_G30,0.8,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.6302094648085551,0.8422366450324513
ResNet18,multi_AKIEC_VASC,L80_G30,0.8,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6302094648085551,0.8422366450324513
MobileNetV3,multi_AKIEC_VASC,L80_G30,0.8,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.6159267368671253,0.8377433849226161
MobileNetV3,multi_AKIEC_VASC,L80_G30,0.8,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6159267368671253,0.8377433849226161
EfficientNetB0,multi_AKIEC_VASC,L80_G30,0.8,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.6504907269599555,0.8592111832251622
EfficientNetB0,multi_AKIEC_VASC,L80_G30,0.8,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6504907269599555,0.8592111832251622
ConvNeXtTiny,multi_AKIEC_VASC,L80_G30,0.8,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.6610398230200747,0.8652021967049426
ConvNeXtTiny,multi_AKIEC_VASC,L80_G30,0.8,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6610398230200747,0.8652021967049426
ResNet18,multi_AKIEC_VASC,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.6859828412944381,0.8487269096355466
