dataset,seed,method,policy,accuracy,macro_f1,cc_f1,raw_feasible,task_updates,constraint_updates,joint_constraint_updates
cifar,1004,tralo_3e-05,capped_first,0.618,0.615606624815506,0.5445791609045466,False,800,15,0
cifar,1004,tralo_null,raw,0.629,0.6265763682922144,0.6098813690669295,False,800,0,0
cifar,1004,tralo_null,upper_bound_correction,0.618,0.615606624815506,0.5445791609045466,False,800,0,0
cifar,1004,tralo_null,capped_first,0.618,0.615606624815506,0.5445791609045466,False,800,0,0
cifar,1005,alm_0.005,raw,0.608,0.600106299609379,0.372539872781107,True,800,0,600
cifar,1005,alm_0.005,upper_bound_correction,0.608,0.600106299609379,0.372539872781107,True,800,0,600
cifar,1005,alm_0.005,capped_first,0.6185,0.6136541152645916,0.4957224781348204,True,800,0,600
cifar,1005,alm_0.015,raw,0.6075,0.5985198890039793,0.36248426204601436,True,800,0,600
cifar,1005,alm_0.015,upper_bound_correction,0.6075,0.5985198890039793,0.36248426204601436,True,800,0,600
cifar,1005,alm_0.015,capped_first,0.618,0.6138101304359307,0.5033449393056686,True,800,0,600
cifar,1005,alm_0.05,raw,0.6085,0.5993736610280006,0.3637922869259187,True,800,0,600
cifar,1005,alm_0.05,upper_bound_correction,0.6085,0.5993736610280006,0.3637922869259187,True,800,0,600
cifar,1005,alm_0.05,capped_first,0.6185,0.6141141622657738,0.505373924812915,True,800,0,600
cifar,1005,alm_0.15,raw,0.607,0.5958108837880068,0.3330490389831822,True,800,0,600
cifar,1005,alm_0.15,upper_bound_correction,0.607,0.5958108837880068,0.3330490389831822,True,800,0,600
cifar,1005,alm_0.15,capped_first,0.617,0.6121814063180683,0.4931517025906927,True,800,0,600
cifar,1005,alm_0.5,raw,0.6045,0.5938336709370673,0.3325313996566369,True,800,0,600
cifar,1005,alm_0.5,upper_bound_correction,0.6045,0.5938336709370673,0.3325313996566369,True,800,0,600
cifar,1005,alm_0.5,capped_first,0.6165,0.6129324313262984,0.5125199821605853,True,800,0,600
cifar,1005,alm_1.5,raw,0.602,0.591122545385157,0.40128441003441007,True,800,0,600
cifar,1005,alm_1.5,upper_bound_correction,0.602,0.591122545385157,0.40128441003441007,True,800,0,600
cifar,1005,alm_1.5,capped_first,0.6085,0.6026304775145468,0.5156600787789427,True,800,0,600
cifar,1005,alm_5,raw,0.595,0.5842253331956934,0.4114478849772967,False,800,0,600
cifar,1005,alm_5,upper_bound_correction,0.594,0.5830466555409519,0.40298557651498823,False,800,0,600
cifar,1005,alm_5,capped_first,0.5995,0.5936575213009249,0.5008915602604243,False,800,0,600
cifar,1005,clipper,raw,0.6315,0.629487353915394,0.6098323127636379,False,800,0,0
cifar,1005,clipper,upper_bound_correction,0.62,0.6161376945780233,0.502389144801487,False,800,0,0
cifar,1005,clipper,capped_first,0.62,0.6162620369979179,0.502389144801487,False,800,0,0
cifar,1005,tralo_0.0001,raw,0.6295,0.6275035586408964,0.5959772699673027,False,800,15,0
cifar,1005,tralo_0.0001,upper_bound_correction,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_0.0001,capped_first,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_0.0003,raw,0.6285,0.6265611911627574,0.5914120620123813,False,800,15,0
cifar,1005,tralo_0.0003,upper_bound_correction,0.618,0.6142466868674059,0.502389144801487,False,800,15,0
cifar,1005,tralo_0.0003,capped_first,0.618,0.6142466868674059,0.502389144801487,False,800,15,0
cifar,1005,tralo_0.001,raw,0.625,0.6203987012405947,0.5452592971383521,False,800,15,0
cifar,1005,tralo_0.001,upper_bound_correction,0.6155,0.6102524990043872,0.4805372929496351,False,800,15,0
cifar,1005,tralo_0.001,capped_first,0.6185,0.6144093904398027,0.5055292414198445,False,800,15,0
cifar,1005,tralo_0.003,raw,0.612,0.6016103275712679,0.3878879034244888,False,800,15,0
cifar,1005,tralo_0.003,upper_bound_correction,0.6085,0.5978005217048389,0.36148151848151855,False,800,15,0
cifar,1005,tralo_0.003,capped_first,0.618,0.6137824688021963,0.507558226927091,False,800,15,0
cifar,1005,tralo_0.01,raw,0.592,0.5692412237943753,0.09463777089783282,True,800,15,0
cifar,1005,tralo_0.01,upper_bound_correction,0.592,0.5692412237943753,0.09463777089783282,True,800,15,0
cifar,1005,tralo_0.01,capped_first,0.6155,0.6122681177672183,0.47053729294963514,True,800,15,0
cifar,1005,tralo_1e-05,raw,0.631,0.6290204785926071,0.6142612092732798,False,800,15,0
cifar,1005,tralo_1e-05,upper_bound_correction,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_1e-05,capped_first,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_3e-05,raw,0.631,0.6290518963378772,0.6118491207439011,False,800,15,0
cifar,1005,tralo_3e-05,upper_bound_correction,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_3e-05,capped_first,0.618,0.6141110909950812,0.502389144801487,False,800,15,0
cifar,1005,tralo_null,raw,0.6305,0.6286120190963562,0.6134286468310967,False,800,0,0
cifar,1005,tralo_null,upper_bound_correction,0.618,0.6141110909950812,0.502389144801487,False,800,0,0
cifar,1005,tralo_null,capped_first,0.618,0.6141110909950812,0.502389144801487,False,800,0,0
cifar,1006,alm_0.005,raw,0.6085,0.597323121051772,0.34588525708606843,False,800,0,600
cifar,1006,alm_0.005,upper_bound_correction,0.608,0.5967847391180412,0.3419813531821645,False,800,0,600
cifar,1006,alm_0.005,capped_first,0.618,0.613644134680602,0.4990397084085723,False,800,0,600
cifar,1006,alm_0.015,raw,0.608,0.5979537647030897,0.34494456440344023,True,800,0,600
cifar,1006,alm_0.015,upper_bound_correction,0.608,0.5979537647030897,0.34494456440344023,True,800,0,600
cifar,1006,alm_0.015,capped_first,0.6195,0.6153830278474792,0.4990397084085723,True,800,0,600
cifar,1006,alm_0.05,raw,0.607,0.5957278674317653,0.3370794000433469,True,800,0,600
cifar,1006,alm_0.05,upper_bound_correction,0.607,0.5957278674317653,0.3370794000433469,True,800,0,600
cifar,1006,alm_0.05,capped_first,0.6175,0.613063804955741,0.4847885006791037,True,800,0,600
cifar,1006,alm_0.15,raw,0.607,0.5960900634684827,0.3398176492447592,True,800,0,600
cifar,1006,alm_0.15,upper_bound_correction,0.607,0.5960900634684827,0.3398176492447592,True,800,0,600
cifar,1006,alm_0.15,capped_first,0.6195,0.615642568431782,0.4977051673457704,True,800,0,600
cifar,1006,alm_0.5,raw,0.6035,0.5922668673010162,0.33088846785398507,True,800,0,600
cifar,1006,alm_0.5,upper_bound_correction,0.6035,0.5922668673010162,0.33088846785398507,True,800,0,600
cifar,1006,alm_0.5,capped_first,0.616,0.6120795412095922,0.4890095151718574,True,800,0,600
cifar,1006,alm_1.5,raw,0.606,0.5956496575728885,0.38329798755605204,True,800,0,600
cifar,1006,alm_1.5,upper_bound_correction,0.606,0.5956496575728885,0.38329798755605204,True,800,0,600
cifar,1006,alm_1.5,capped_first,0.615,0.6106491343664379,0.5171197432119592,True,800,0,600
cifar,1006,alm_5,raw,0.6065,0.5973181177567293,0.4308269209739798,False,800,0,600
cifar,1006,alm_5,upper_bound_correction,0.6045,0.5949557004784161,0.41403198653198653,False,800,0,600
cifar,1006,alm_5,capped_first,0.6095,0.6042280190537973,0.5041567802489962,False,800,0,600
cifar,1006,clipper,raw,0.6355,0.6317752138434006,0.5958642947481606,False,800,0,0
cifar,1006,clipper,upper_bound_correction,0.6205,0.6163982450292029,0.5052584172359769,False,800,0,0
cifar,1006,clipper,capped_first,0.6215,0.6178343148096674,0.5210686939158188,False,800,0,0
cifar,1006,tralo_0.0001,raw,0.634,0.6305128492626615,0.5893910119423948,False,800,15,0
cifar,1006,tralo_0.0001,upper_bound_correction,0.6195,0.6155446599157905,0.5036773895679926,False,800,15,0
cifar,1006,tralo_0.0001,capped_first,0.62,0.6163542903749905,0.5123730417419057,False,800,15,0
cifar,1006,tralo_0.0003,raw,0.6335,0.6290717923581465,0.5861269124954873,False,800,15,0
cifar,1006,tralo_0.0003,upper_bound_correction,0.6185,0.6141110604526715,0.49162770012699886,False,800,15,0
cifar,1006,tralo_0.0003,capped_first,0.62,0.6162291626135724,0.5123730417419057,False,800,15,0
cifar,1006,tralo_0.001,raw,0.6285,0.6227752404274324,0.541863744160009,False,800,15,0
cifar,1006,tralo_0.001,upper_bound_correction,0.618,0.6121358654285833,0.47482645789097405,False,800,15,0
cifar,1006,tralo_0.001,capped_first,0.6205,0.6171570874676626,0.5218094346565595,False,800,15,0
