ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
dermmnist,L20_G20,tralo_bounded,4,0.70455,0.012063857868305094,0.8295250000000001,0.006080227517672913,0.148025,0.010391462842160387,0.314525,0.020372591882232366,12.25,4.272001872658765,0.75,0.5,70.66666666666667,0.5773502691896257,34.3226,21.711675463522695
dermmnist,L30_G30,danits_lp,4,0.722425,0.016809992068211495,0.846075,0.0047499999999999765,0.101175,0.007453131332981234,0.231475,0.008200965390326508,136.5,7.14142842854285,0.0,0.0,,0.0,0.390575,0.0876833079896054
dermmnist,L30_G30,fioretto_ldf,4,0.7305,0.011458039390169133,0.843075,0.004697073557014011,0.1319,0.005549174112724643,0.285525,0.00737896785917019,11.0,1.4142135623730951,0.5,0.5773502691896257,16.5,0.7071067811865476,41.312850000000005,25.561823196908318
dermmnist,L30_G30,heuristic,4,0.722375,0.01686028370658888,0.846075,0.0047499999999999765,0.101175,0.007453131332981234,0.231475,0.008200965390326508,136.5,7.14142842854285,0.0,0.0,,0.0,0.34625,0.08500221565739721
dermmnist,L30_G30,hounie_rcl,4,0.7305,0.007012370022562497,0.8432,0.0021602468994692888,0.13465,0.006543444556704576,0.292175,0.010981006329112098,18.25,9.287087810503355,1.0,0.0,50.75,5.678908345800274,47.937925,4.4109978616899514
dermmnist,L30_G30,tralo,4,0.730075,0.006713357331966353,0.8442,0.0014719601443880011,0.13087500000000002,0.005213044535905416,0.281725,0.009497499670966022,8.0,9.763879010584539,1.0,0.0,67.25,2.0615528128088303,131.23435,120.4143351883681
dermmnist,L30_G30,tralo_bounded,4,0.734675,0.009763324228970378,0.8454499999999999,0.002872281323269017,0.130525,0.00455805148427849,0.279875,0.008026778100001691,8.0,4.546060565661952,0.5,0.5773502691896257,66.0,1.4142135623730951,42.603475,26.44750613767771
dermmnist,L50_G50,danits_lp,4,0.74715,0.01892731711926794,0.8580749999999999,0.006884463184107659,0.101175,0.007453131332981234,0.231475,0.008200965390326508,92.5,7.14142842854285,0.0,0.0,,0.0,0.3921,0.08954443961892142
dermmnist,L50_G50,fioretto_ldf,4,0.7644,0.009587491851365482,0.8624499999999999,0.0027537852736430534,0.111375,0.004182005101224373,0.24705,0.006531207137020434,9.75,2.0615528128088303,0.75,0.5,11.666666666666666,1.5275252316519468,26.695275,22.128179324769736
dermmnist,L50_G50,heuristic,4,0.74715,0.01878838293556244,0.8580749999999999,0.006884463184107659,0.101175,0.007453131332981234,0.231475,0.008200965390326508,92.5,7.14142842854285,0.0,0.0,,0.0,0.344675,0.09314563417931443
dermmnist,L50_G50,hounie_rcl,4,0.7641249999999999,0.01285700198335519,0.862575,0.003682729965664083,0.115,0.005346650041536914,0.25295,0.006204568209526492,19.5,3.415650255319866,1.0,0.0,44.5,5.916079783099616,43.125875,4.555462631738587
dermmnist,L50_G50,tralo,4,0.7645500000000001,0.00460325971459357,0.8624499999999999,0.0022546248764114614,0.111925,0.0054020829316107355,0.244975,0.006956711387813454,4.0,3.366501646120693,1.0,0.0,62.0,1.4142135623730951,110.19437500000001,103.81069130641522
dermmnist,L50_G50,tralo_bounded,4,0.7641249999999999,0.010663450035831128,0.8627,0.003628590176179518,0.1116,0.005231315959361147,0.246175,0.006873317976057843,10.0,4.96655480858378,0.75,0.5,61.666666666666664,1.5275252316519465,27.341725,22.826490031740903
dermmnist,L70_G70,danits_lp,4,0.76415,0.015050249167372591,0.8652,0.005307227776030196,0.101175,0.007453131332981234,0.231475,0.008200965390326508,47.5,7.14142842854285,0.0,0.0,,0.0,0.395575,0.08867376068112447
dermmnist,L70_G70,fioretto_ldf,4,0.78735,0.004891148467725524,0.8722000000000001,0.002380476142847619,0.10035,0.0029737742572921297,0.225025,0.004275024366402303,12.0,5.291502622129181,1.0,0.0,7.75,0.5,12.323525,0.3705862326548755
dermmnist,L70_G70,heuristic,4,0.76425,0.014656625350559607,0.865325,0.005105144464165533,0.101175,0.007453131332981234,0.231475,0.008200965390326508,47.5,7.14142842854285,0.0,0.0,,0.0,0.34915,0.0860403974886216
dermmnist,L70_G70,hounie_rcl,4,0.78545,0.008782368700982635,0.8722,0.0024832774042918625,0.101425,0.0033589432862136904,0.226625,0.004336184959154765,17.0,6.27162924074226,1.0,0.0,41.5,4.123105625617661,40.7159,2.966048366654417
dermmnist,L70_G70,tralo,4,0.7884249999999999,0.005120139972044999,0.8732,0.0034641016151377574,0.099125,0.0029981939007787117,0.223725,0.00475210479682425,4.25,2.6299556396765835,1.0,0.0,57.25,0.5,80.444975,101.73777558328977
