block,subblock,dataset,model,constraint_tag,method,seed,constrained_class,group_column,warmup_epochs,cc_f1,cc_recall,cc_prec,cc_support,f1_macro,accuracy,ece,flips,satisfied,total_excess,sat_epoch,disable_freeze,reset_opt,alpha_kl,rho_target,fioretto_step_size,hounie_eta_lambda,ce_nan,max_lambda_g,n_log_epochs
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G20,hounie_rcl,1,4,loc_group,50,0.3134,0.1883,0.9333,223.0,0.6841,0.8243,0.1456,0.0,1.0,0.0,219.0,,,,,,0.001,True,,223
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G20,hounie_rcl,2,4,loc_group,50,0.2943,0.1749,0.9286,223.0,0.7124,0.8342,0.1378,0.0,1.0,0.0,170.0,,,,,,0.001,True,,174
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G30,hounie_rcl,4,4,loc_group,50,0.4276,0.278,0.9254,223.0,0.7306,0.8447,0.1309,0.0,1.0,0.0,181.0,,,,,,0.001,True,,185
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G30,hounie_rcl,3,4,loc_group,50,0.4028,0.2601,0.8923,223.0,0.7399,0.8477,0.1242,0.0,1.0,0.0,151.0,,,,,,0.001,True,,155
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G30,hounie_rcl,1,4,loc_group,50,0.3986,0.2556,0.9048,223.0,0.7119,0.8397,0.1305,0.0,1.0,0.0,166.0,,,,,,0.001,True,,170
C_fairness,hounie_eta_0p001,dermmnist,MobileNetV3,L50_G30,hounie_rcl,2,4,loc_group,50,0.3916,0.2511,0.8889,223.0,0.7248,0.8427,0.1304,0.0,1.0,0.0,149.0,,,,,,0.001,True,,153
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,2,synth_group,50,0.3706,0.232,0.9206,250.0,0.7017,0.742,0.2228,0.0,1.0,0.0,106.0,,,,,,0.001,True,,110
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,2,synth_group,50,0.3849,0.244,0.9104,250.0,0.6991,0.736,0.2254,0.0,1.0,0.0,118.0,,,,,,0.001,True,,122
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,2,synth_group,50,0.4224,0.272,0.9444,250.0,0.7046,0.737,0.2215,0.0,1.0,0.0,111.0,,,,,,0.001,True,,115
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,2,synth_group,50,0.3666,0.228,0.9344,250.0,0.6817,0.72,0.2264,0.0,1.0,0.0,98.0,,,,,,0.001,True,,102
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L40_G40,hounie_rcl,4,2,synth_group,50,0.4826,0.332,0.883,250.0,0.7382,0.764,0.1997,0.0,1.0,0.0,92.0,,,,,,0.001,True,,96
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L40_G40,hounie_rcl,3,2,synth_group,50,0.5014,0.348,0.8969,250.0,0.7407,0.764,0.1979,0.0,1.0,0.0,109.0,,,,,,0.001,True,,113
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L40_G40,hounie_rcl,1,2,synth_group,50,0.4592,0.304,0.9383,250.0,0.7165,0.744,0.2105,0.0,1.0,0.0,112.0,,,,,,0.001,True,,116
C_fairness,hounie_eta_0p001,octmnist,MobileNetV3,L40_G40,hounie_rcl,2,2,synth_group,50,0.4751,0.324,0.8901,250.0,0.7206,0.746,0.2028,0.0,1.0,0.0,98.0,,,,,,0.001,True,,102
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,hounie_rcl,4,4,loc_group,50,0.2985,0.1794,0.8889,223.0,0.6618,0.8158,0.1538,0.0,1.0,0.0,168.0,,,,,,0.01,True,,172
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,hounie_rcl,3,4,loc_group,50,0.2846,0.1704,0.8636,223.0,0.6552,0.8123,0.1596,0.0,1.0,0.0,221.0,,,,,,0.01,True,,225
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,hounie_rcl,1,4,loc_group,50,0.2687,0.1614,0.8,223.0,0.6525,0.8108,0.1612,0.0,1.0,0.0,144.0,,,,,,0.01,True,,148
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,hounie_rcl,2,4,loc_group,50,0.2932,0.1749,0.907,223.0,0.6518,0.8128,0.1613,0.0,1.0,0.0,142.0,,,,,,0.01,True,,146
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,tralo,4,4,loc_group,50,0.291,0.1749,0.8667,223.0,0.6611,0.8168,0.1574,0.0,1.0,0.0,70.0,,True,0.0,100.0,,,False,,12
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,tralo,3,4,loc_group,50,0.2761,0.1659,0.8222,223.0,0.6411,0.8088,0.1676,0.0,1.0,0.0,72.0,,True,0.0,100.0,,,False,,75
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,tralo,1,4,loc_group,50,0.2622,0.157,0.7955,223.0,0.658,0.8128,0.1615,0.0,1.0,0.0,66.0,,True,0.0,100.0,,,False,,8
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,tralo,2,4,loc_group,50,0.291,0.1749,0.8667,223.0,0.6524,0.8093,0.1693,0.0,1.0,0.0,66.0,,True,0.0,100.0,,,False,,37
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,danits_lp,4,4,loc_group,50,0.2687,0.1614,0.8,223.0,0.6154,0.7958,0.1548,95.0,0.0,124.0,,,,,,,,False,,0
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,danits_lp,3,4,loc_group,50,0.2761,0.1659,0.8222,223.0,0.6118,0.7938,0.1441,138.0,0.0,210.0,,,,,,,,False,,0
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,danits_lp,1,4,loc_group,50,0.291,0.1749,0.8667,223.0,0.6419,0.7998,0.1337,129.0,0.0,192.0,,,,,,,,False,,0
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,danits_lp,2,4,loc_group,50,0.2985,0.1794,0.8889,223.0,0.6489,0.8088,0.1307,99.0,0.0,132.0,,,,,,,,False,,0
A_derm_asym_xbackbone,dermmnist,dermmnist,ViTB16,L50_G20,fioretto_ldf,4,4,loc_group,50,0.2857,0.1704,0.8837,223.0,0.6652,0.8178,0.1532,0.0,1.0,0.0,27.0,,,,,0.005,,True,10.962941,31
